#OTU ID	CTL_Ctrl1_Trip1	CTL_Ctrl2	CTL_Ctrl3	CTL_ExtractionCtrlPro_Trip1	CTL_NTC2	CTL_NegCtrl1_Trip2	CTL_NegCtrl2_Trip2	CTL_PCRCtrl_Trip1	TRIP4_EB1	TRIP4_EB2	TRIP4_EB3	TRIP4_EB4	TRIP4_EB5	TRIP4_SEB
7e6c0cd814dc740f05cfe9074aa761d2	0	0	0	5248	0	0	0	0	0	0	0	0	0	0
503c06919ff388867d62e9eec586c702	0	472	905	348	0	1637	1851	0	0	0	0	0	0	24
d557252314be12891eaac1b1c21f56d1	0	5144	38	0	0	0	0	0	0	0	0	0	0	0
2cd6b8fe873306cd7e3d9d09e9b16d28	0	0	0	4889	0	0	0	0	0	0	0	0	0	0
e3e973a432f471e0e872b9cffadb61e4	0	1344	721	1986	0	361	362	38	0	0	0	0	0	0
acb32191eadb8ef6ca9ff22fa26c53ed	0	0	0	0	0	0	0	0	1191	2693	866	0	0	0
5b3cae825069baf12ec4335f6ad62974	0	660	917	983	0	1026	928	0	0	0	0	0	0	0
590abe7a27a8072504fc90f2d2581eb1	0	306	993	1208	0	914	989	100	0	0	0	0	0	0
1d54bf40dee53634c0d1a17532d500ad	0	1308	1180	177	0	454	469	241	429	0	137	0	0	40
29de7e62787b2b64d6d9f41c0fde67d8	0	3981	121	0	0	71	46	0	0	0	0	0	0	0
3c573e58ac2a034b90c33aff248f8cbc	0	0	0	0	0	0	0	0	1427	2392	323	0	0	0
2d33c7770959a391c2022894667aaa7d	0	1743	1414	0	0	586	349	0	0	0	0	0	0	0
fa8eb9007a1a99b7bfa4a9e9e2b590f0	0	44	67	3701	0	71	0	56	0	0	0	0	0	137
c56b80d9154758d0ce647fb6c5ced4e3	3952	0	0	0	0	0	0	0	0	0	0	0	0	0
4fcc8cd7460d8cb86306ebfe3a149896	0	0	0	3101	0	0	0	0	0	836	0	0	0	15
9241af524f4f52badb5dead020760daf	0	0	0	3129	0	0	0	0	540	0	0	0	0	0
fb19efc31a63e6e31b9a239ab433fdae	0	882	1038	0	0	333	241	0	0	962	0	0	0	0
4dc979434327dd4f473a192cc2a0cfec	0	897	1659	0	0	562	245	0	0	0	0	0	0	0
cd5ac125748fbad5bf6d26ab20c6f1dd	0	0	0	0	0	0	0	0	3240	0	0	0	0	23
2b812ced362a5d13ee4e9b6b0f4f79e7	0	2417	389	0	0	121	117	0	0	0	0	0	0	0
72a23bebd4e258d1bc58aa2004ff8166	0	0	0	0	0	0	0	0	898	2106	0	0	0	0
204cba7074714374db19d2d833433379	0	0	12	2951	0	0	0	0	0	0	0	0	0	37
1f3dcd82cc2260f556be253643d7dcad	0	0	0	2994	0	0	0	0	0	0	0	0	0	0
263e4e3ba1393504c1bda557b59ef4fe	0	0	0	0	0	0	0	0	1716	0	0	982	229	0
ad54d7f6cb39104fbe48ca510ecefb5f	0	71	148	1470	0	55	10	0	1114	0	0	0	0	38
b90e5f207e760c0b02d67b5488f525f8	0	0	0	2142	0	0	0	0	0	725	0	0	0	26
98698553e2c174525dfe88c5dd1014e5	0	1152	955	0	0	389	291	0	0	0	0	0	0	0
7f7c25e6adc6a3262ec4c966ba9bf36b	0	0	0	0	0	0	0	0	1209	0	0	1426	0	0
6c9e90fb167ef93dabf58390790e1dd9	0	0	0	0	0	0	0	0	2605	0	0	0	0	0
a0599a9d546639c60b2598c499d43f57	0	1246	660	0	0	329	298	34	0	0	0	0	0	0
e1febf4dc0e32bed5a20b4164748a012	0	0	0	0	0	0	0	0	2548	0	0	0	0	0
fd1abdab9ac5be9882a47cd317a1f2e6	0	0	0	0	0	0	0	39	1193	0	1177	0	0	126
78cc56f801804721871b41eb367896a8	0	0	0	0	10	0	0	0	2462	0	0	0	0	0
59153c82c8ed3b581f6a8b8389f5d1d8	0	0	0	2468	0	0	0	0	0	0	0	0	0	0
c93f0ccae538b66c3a68bd327e222df0	0	639	549	704	0	241	243	80	0	0	0	0	0	0
dd147a8c8de8f2590c52fe77202cffad	0	956	580	487	0	144	91	23	0	0	0	0	0	20
f54c03056844b0d43a1917d7783e368a	0	2288	0	0	0	0	0	0	0	0	0	0	0	0
c5f0885c64556b50ec9b6c32695f7eaf	0	0	0	0	0	0	0	0	2282	0	0	0	0	0
dbccf66be9d06745026c95b1d30b79e3	0	0	0	0	0	0	0	0	2270	0	0	0	0	0
a6a55e28bed147800585992ce0c9f43e	0	0	0	0	0	0	0	0	2246	0	0	0	0	0
986a0e9c81150eeb126502c2522cf390	0	0	0	0	0	0	0	0	2228	0	0	0	0	0
93363c859e2de8d26367156b701f28c6	0	0	0	0	0	0	0	0	2209	0	0	0	0	0
6905af880500a04c4a9148f4aa88702b	0	2197	0	0	0	0	0	0	0	0	0	0	0	0
65094a4117f60a36d208f9192d0682e7	0	0	0	2157	0	0	0	0	0	0	0	0	0	33
b7e7d9e7dcfc73a851fbfdcc7d565d58	0	0	0	0	0	0	0	0	0	0	0	0	0	2171
