genus	phylum	n_sites	spearman_rho_route_position	p_value	east_minus_west_mean_clr	east_minus_west_ci_low	east_minus_west_ci_high	mean_clr_west_third	mean_clr_central_third	mean_clr_east_third	q_bh_200	supported_q_lt_0_05	direction	mean_relative_abundance_west_third	mean_relative_abundance_central_third	mean_relative_abundance_east_third
Litchfieldia	Bacillota	60	0.5469297027	6.14149038e-06	3.33373062	2.168008474	4.499452766	-0.8112215118	-1.1691022	2.522509108	2.4084276e-05	True	increases_eastward	0.000570010869	0.0002638550284	0.003603199236
Bradyrhizobium	Pseudomonadota	60	0.5602667408	3.240343852e-06	3.183236791	1.986669638	4.379803945	-0.726564045	-0.9749612233	2.456672746	1.296137541e-05	True	increases_eastward	0.0006289855716	0.000926220518	0.01828638953
Limibaculum	Pseudomonadota	60	0.5649902751	2.566410108e-06	3.455410247	2.377893805	4.53292669	-0.9166618496	-1.061385469	2.538748398	1.069337545e-05	True	increases_eastward	7.245434676e-05	9.764904906e-05	0.001376652097
Pelagibacterium	Pseudomonadota	60	0.5701583773	1.980263117e-06	1.720427617	0.780877952	2.659977283	-0.617093589	-0.1661843245	1.103334028	8.801169407e-06	True	increases_eastward	0.001063552765	0.0009384377965	0.001823117783
Acinetobacter	Pseudomonadota	60	0.5948318977	5.391988617e-07	2.090232249	1.419273257	2.761191242	-0.6857107992	-0.362266947	1.40452145	2.567613627e-06	True	increases_eastward	2.98680086e-05	0.0001166375282	0.0005870576011
Ornithinibacillus	Bacillota	60	0.6229508197	1.065443083e-07	1.706758892	1.069214365	2.34430342	-0.6207093647	-0.1608710301	1.086049528	5.876489174e-07	True	increases_eastward	0.0002829981208	0.0003552713191	0.0007913172059
Enterococcus	Bacillota	60	0.6286746318	7.50831394e-08	3.002664289	2.105569932	3.899758646	-0.8493974491	-0.7300010021	2.15326684	4.692696213e-07	True	increases_eastward	8.87253989e-05	0.0002877663789	0.001897553727
Pelagibius	Pseudomonadota	60	0.6489580439	2.047276259e-08	1.851584388	1.115185519	2.587983257	-0.6982501485	-0.0903954044	1.153334239	1.462340185e-07	True	increases_eastward	0.0001740918673	0.0002516235509	0.0003532893467
Aeromonas	Pseudomonadota	60	0.6540150042	1.458342063e-08	2.125457238	1.542996242	2.707918234	-0.5920834126	-0.5330767593	1.533373825	1.08025338e-07	True	increases_eastward	0.002190161437	0.003635190343	0.002484476691
Gracilibacillus	Bacillota	60	0.6576826896	1.13572857e-08	3.010743763	1.968294875	4.053192651	-0.9807326763	-0.5983546205	2.030011087	8.736373616e-08	True	increases_eastward	0.000295376004	0.0005220402948	0.002006234636
Pontibacter	Bacteroidota	60	0.6654070575	6.632167932e-09	1.868965508	1.057642834	2.680288182	-1.008651895	0.309297447	0.8603136131	5.52680661e-08	True	increases_eastward	0.001320659718	0.003568006784	0.01019678569
Staphylococcus	Bacillota	60	0.6676298972	5.664417042e-09	2.737984552	1.894507912	3.581461193	-0.7998389784	-0.5110202933	1.938145574	5.394682897e-08	True	increases_eastward	0.0002050514314	0.0002405206607	0.002145757001
Metabacillus	Bacillota	60	0.6893025841	1.131313751e-09	1.22424434	0.8466822511	1.601806428	-0.5783919261	0.100098566	0.6458524136	1.257015279e-08	True	increases_eastward	0.005282114971	0.008025829598	0.01067099491
Halomonas	Pseudomonadota	60	0.689858294	1.083556244e-09	4.386139234	2.995683082	5.776595387	-1.205710351	-1.255501954	3.180428883	1.257015279e-08	True	increases_eastward	0.0005761395728	0.0006226029364	0.02029052311
Sediminibacillus	Bacillota	60	0.6971936649	6.076350409e-10	4.586258863	3.463936717	5.70858101	-1.30089535	-1.333694082	3.285363513	8.680500584e-09	True	increases_eastward	2.897356439e-05	4.279023576e-05	0.005155425642
Escherichia-Shigella	Pseudomonadota	60	0.6993053626	5.127837133e-10	3.268111957	2.355480678	4.180743237	-0.9160352633	-0.775573655	2.352076694	7.888980205e-09	True	increases_eastward	5.988855102e-05	9.882277376e-05	0.008393825384
Rhodocista	Pseudomonadota	60	0.7055848847	3.068656902e-10	3.009352714	2.118610295	3.900095134	-1.406516381	0.09291306256	1.602836333	5.895763123e-09	True	increases_eastward	0.0002554624638	0.0007982868096	0.001959119395
Plastorhodobacter	Pseudomonadota	60	0.7151986663	1.361754621e-10	3.60023087	2.739954199	4.46050754	-1.811249308	0.5087556501	1.788981561	3.026121381e-09	True	increases_eastward	0.0001805272612	0.0006353748602	0.001046145479
Aquibacillus	Bacillota	60	0.7219783273	7.524793407e-11	4.747502744	3.454391323	6.040614164	-1.43188861	-1.179847171	3.315614134	1.881198352e-09	True	increases_eastward	8.459005147e-05	5.937048541e-05	0.006905735264
Pseudalkalibacillus	Bacillota	60	0.7398166157	1.449233598e-11	2.887384102	2.276142641	3.498625563	-1.333962003	0.1556810937	1.5534221	4.140667422e-10	True	increases_eastward	6.423521435e-05	0.0002518692759	0.0005498712923
Bacillus	Bacillota	60	0.7703250903	6.204127943e-13	1.62377879	1.182444038	2.065113541	-0.5937233195	-0.1675152663	1.03005547	2.481651177e-11	True	increases_eastward	0.0155828566	0.02114645165	0.06222796548
Ammoniphilus	Bacillota	60	0.8015559878	1.431416318e-14	1.893172776	1.478666446	2.307679106	-0.821233774	0.05668227435	1.071939002	9.542775453e-13	True	increases_eastward	0.005328617553	0.01100704667	0.01920399678
Polygonibacillus	Bacillota	60	0.807001945	6.926573456e-15	4.548711538	3.58886129	5.508561786	-1.442005448	-0.9807505916	3.10670609	6.926573456e-13	True	increases_eastward	2.965009968e-05	2.595300959e-05	0.002026988326
Halalkalibacter	Bacillota	60	0.8540150042	4.211763207e-18	4.908756959	3.82550425	5.992009668	-1.889919795	-0.3511165265	3.018837164	8.423526413e-16	True	increases_eastward	0.0002513749753	0.0002727988966	0.008279529066
