rank	pathway	description	mean_relative_abundance	prevalence	pathway_class	autotrophy_marker	mean_surface	mean_shallow_subsurface	mean_root_adjacent
45	THRESYN-PWY	superpathway of L-threonine biosynthesis	0.005871158203	1	biosynthesis	False	0.005763156466	0.006017423083	0.005838351719
46	TRPSYN-PWY	L-tryptophan biosynthesis	0.005830687772	1	biosynthesis	False	0.005748260579	0.005973505624	0.00578058084
47	PWY-7221	guanosine ribonucleotides de novo biosynthesis	0.005788569555	1	biosynthesis	False	0.005709384873	0.005939138081	0.005729687896
48	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	0.005742831632	1	biosynthesis	False	0.005686595965	0.005885110786	0.005672602328
49	P108-PWY	pyruvate fermentation to propanoate I	0.005737773654	0.9991850041	energy_central_metabolism	False	0.005637541758	0.005987798993	0.005615466927
50	PWY-5659	GDP-mannose biosynthesis	0.005685831998	0.9991850041	biosynthesis	False	0.00565717539	0.006110633053	0.005366867981
51	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	0.005677522868	1	biosynthesis	False	0.005588269566	0.005879811226	0.005584970894
52	ARO-PWY	chorismate biosynthesis I	0.005652586215	1	biosynthesis	False	0.00555642547	0.005831912355	0.005583912243
53	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	0.005593945133	1	energy_central_metabolism	False	0.005530784658	0.005654064341	0.005595190446
54	PWY-5189	tetrapyrrole biosynthesis II (from glycine)	0.005567568105	1	biosynthesis	False	0.005548921222	0.005680106495	0.005491744296
55	SALVADEHYPOX-PWY	adenosine nucleotides degradation II	0.005548357424	0.9991850041	degradation_utilization	False	0.005711874231	0.005281712598	0.005634356214
56	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.005505379733	1	biosynthesis	False	0.005455443612	0.005656471452	0.005423122965
57	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	0.005492229808	1	biosynthesis	False	0.005567730731	0.005755193254	0.005221606567
58	GLUCONEO-PWY	gluconeogenesis I	0.005489901273	1	energy_central_metabolism	False	0.005485562706	0.005507367419	0.005479266979
59	SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	0.005482918896	1	degradation_utilization	False	0.005533131872	0.005387964518	0.005519835333
60	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	0.005446123452	1	biosynthesis	False	0.005346117549	0.005609719169	0.005393111274
61	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.00543875304	1	biosynthesis	False	0.005387183334	0.005593891646	0.005354525449
62	COA-PWY	coenzyme A biosynthesis I	0.00543770862	1	biosynthesis	False	0.005366635878	0.005601497177	0.005361834401
63	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	0.005396202535	1	biosynthesis	False	0.005346397426	0.005534823048	0.005323867271
64	PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.005384106323	1	biosynthesis	False	0.005339607432	0.005518221426	0.005311228123
65	PWY-6608	guanosine nucleotides degradation III	0.005383914379	0.9991850041	degradation_utilization	False	0.005441242368	0.005196710407	0.005489396872
66	GLUTORN-PWY	L-ornithine biosynthesis	0.005353096744	1	biosynthesis	False	0.005317353025	0.005538503417	0.005232119362
67	PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	0.005327146073	1	biosynthesis	False	0.005279359304	0.005470624726	0.005249321836
68	PANTO-PWY	phosphopantothenate biosynthesis I	0.005326653017	1	biosynthesis	False	0.005278286059	0.005454936529	0.005261497934
69	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	0.005300485482	1	biosynthesis	False	0.005171436188	0.005541203065	0.005208276491
70	PENTOSE-P-PWY	pentose phosphate pathway	0.005293556075	1	energy_central_metabolism	False	0.005242670238	0.005309930308	0.005320330229
71	PWY-6123	inosine-5'-phosphate biosynthesis I	0.005276868549	1	biosynthesis	False	0.005205268074	0.005437094838	0.005204271841
72	PWY0-1261	anhydromuropeptides recycling	0.005255320724	0.9991850041	other	False	0.005242529322	0.004986948012	0.005481076852
73	PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	0.005247673979	1	other	False	0.005141037062	0.005163234713	0.005399235779
74	HISTSYN-PWY	L-histidine biosynthesis	0.005240076704	1	biosynthesis	False	0.005185896779	0.005394354003	0.005158589955
75	DAPLYSINESYN-PWY	L-lysine biosynthesis I	0.00519824619	0.9991850041	biosynthesis	False	0.005236754119	0.0053273759	0.005064230645
76	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	0.005195195393	1	other	False	0.005105047946	0.005383421335	0.005114648488
77	HEMESYN2-PWY	heme biosynthesis II (anaerobic)	0.005153271738	1	biosynthesis	False	0.005149821052	0.00511423337	0.005187358813
78	PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	0.005152921208	1	biosynthesis	False	0.005109604385	0.005245286929	0.005112673358
79	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	0.005127500494	1	biosynthesis	False	0.004964801492	0.005308891302	0.005109386846
80	PWY-5484	glycolysis II (from fructose 6-phosphate)	0.005117861912	1	energy_central_metabolism	False	0.005081543634	0.005095805497	0.005164093756
81	PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	0.005111062819	1	biosynthesis	False	0.005116529199	0.005118289319	0.005100964108
82	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	0.005108617386	1	biosynthesis	False	0.004948359054	0.005289145103	0.005089282026
83	TRNA-CHARGING-PWY	tRNA charging	0.005009369331	0.9991850041	other	False	0.004964674553	0.005111505342	0.004962349578
84	PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	0.004988539736	0.9991850041	biosynthesis	False	0.005042958061	0.004958261536	0.004970169225
85	PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.004983343566	0.9991850041	biosynthesis	False	0.004852693367	0.005077324167	0.005010337797
86	OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	0.004949914583	1	biosynthesis	False	0.004967876082	0.005202037627	0.004733162352
87	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.004948847954	1	biosynthesis	False	0.00496647494	0.004982390514	0.004908052691
88	NONMEVIPP-PWY	methylerythritol phosphate pathway I	0.004942059443	1	other	False	0.004887263264	0.005014946542	0.004926477573
89	PWY-7560	methylerythritol phosphate pathway II	0.004942059443	1	other	False	0.004887263264	0.005014946542	0.004926477573
90	SO4ASSIM-PWY	sulfate reduction I (assimilatory)	0.004935508284	1	other	False	0.005014240031	0.004780098068	0.004998637148
91	PWY-7234	inosine-5'-phosphate biosynthesis III	0.004932131459	1	biosynthesis	False	0.004905005662	0.004944893363	0.004943162074
92	PWY-6609	adenine and adenosine salvage III	0.004918702745	0.9991850041	biosynthesis	False	0.00466712649	0.005029916824	0.005026748743
93	GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.004892129135	0.9983700081	energy_central_metabolism	False	0.004923615541	0.004741836694	0.004988222968
94	PWY-6353	purine nucleotides degradation II (aerobic)	0.004838533698	0.9983700081	degradation_utilization	False	0.004970743984	0.004730533984	0.004821583625
95	PWY-6897	thiamin salvage II	0.004820558101	1	biosynthesis	False	0.004866040901	0.00502030348	0.004624307908
96	PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.004808821344	0.9991850041	biosynthesis	False	0.004872214359	0.004732761223	0.004820206795
97	PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	0.004806393978	1	biosynthesis	False	0.004888785699	0.004752566213	0.004784998742
98	POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	0.004784645926	1	biosynthesis	False	0.004751220448	0.004875139431	0.00473814013
99	ANAEROFRUCAT-PWY	homolactic fermentation	0.004782086422	0.9991850041	energy_central_metabolism	False	0.004827522556	0.004795153074	0.004735924742
100	P42-PWY	incomplete reductive TCA cycle	0.004742202465	0.9991850041	energy_central_metabolism	False	0.004361219257	0.004889886819	0.004922493636
101	FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	0.004733795317	1	biosynthesis	False	0.004789290718	0.004568117918	0.004823413039
102	P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0.004659198541	0.9991850041	biosynthesis	False	0.004657961204	0.004707799813	0.004621104038
103	TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	0.004632541951	0.9991850041	energy_central_metabolism	False	0.004665698425	0.004346576154	0.004836378997
104	PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.004620927221	1	biosynthesis	False	0.004602470896	0.004599916961	0.004652299924
105	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	0.004582560393	1	biosynthesis	False	0.004531722898	0.004815072462	0.004435565562
106	PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	0.004577274852	1	biosynthesis	False	0.004505782899	0.004604691803	0.004611344785
107	GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	0.004559344499	0.9991850041	energy_central_metabolism	False	0.004632342234	0.00455199574	0.004507962052
108	PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0.004513951911	1	biosynthesis	False	0.004577359677	0.004492293596	0.004481597753
109	1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	0.004476183753	0.9991850041	biosynthesis	False	0.004494459753	0.004320770033	0.004586761718
110	PWY-5918	superpathay of heme biosynthesis from glutamate	0.004467794515	0.9991850041	biosynthesis	False	0.004418840786	0.00449634015	0.004483268988
111	MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	0.004446554598	1	biosynthesis	False	0.004390375083	0.00446330122	0.004477183958
112	HSERMETANA-PWY	L-methionine biosynthesis III	0.004445119631	0.9991850041	biosynthesis	False	0.004660349165	0.004417867881	0.004298110201
113	PWY0-781	aspartate superpathway	0.004413671825	0.9991850041	other	False	0.004378127233	0.004435883946	0.004423713535
114	PWY-6612	superpathway of tetrahydrofolate biosynthesis	0.004370878403	1	biosynthesis	False	0.004425549942	0.004148225776	0.004506939243
115	PWY-5913	TCA cycle VI (obligate autotrophs)	0.004245276135	0.9991850041	energy_central_metabolism	False	0.004421458417	0.004278911686	0.004079970324
116	PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	0.00422150887	0.9991850041	biosynthesis	False	0.004217936038	0.004189829234	0.004249776876
117	PWY-6700	queuosine biosynthesis	0.004218185673	1	biosynthesis	False	0.004185268274	0.004209336907	0.004251132197
118	PWY-7196	superpathway of pyrimidine ribonucleosides salvage	0.004209656052	0.9983700081	biosynthesis	False	0.004114359734	0.004162370935	0.004322453225
119	GLYOXYLATE-BYPASS	glyoxylate cycle	0.004173047864	0.9991850041	energy_central_metabolism	False	0.00420257699	0.003971378233	0.004311974645
120	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	0.00411464114	0.9983700081	biosynthesis	False	0.004123873713	0.004151868421	0.004077472128
121	PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	0.004101561433	0.9991850041	biosynthesis	False	0.004220268249	0.004357970861	0.003802297873
122	P23-PWY	reductive TCA cycle I	0.004095606713	0.9959250204	energy_central_metabolism	True	0.003921126889	0.004641151134	0.003794033022
123	PWY-7392	taxadiene biosynthesis (engineered)	0.00408373582	0.9983700081	biosynthesis	False	0.004043450924	0.004011869513	0.004173117768
124	PWY-6703	preQ0 biosynthesis	0.003876902005	1	biosynthesis	False	0.00387106056	0.003889235943	0.003871572442
125	HOMOSER-METSYN-PWY	L-methionine biosynthesis I	0.003701493404	1	biosynthesis	False	0.003656439283	0.003692683819	0.003743933457
126	PWY-6317	galactose degradation I (Leloir pathway)	0.003698333856	0.9975550122	degradation_utilization	False	0.003719672629	0.003673060551	0.003701901588
127	HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	0.003623648971	1	biosynthesis	False	0.003556355605	0.003558428439	0.003728885585
128	PWY-7199	pyrimidine deoxyribonucleosides salvage	0.003611559941	0.9991850041	biosynthesis	False	0.003636363181	0.003458933159	0.003714775127
129	PWY-6628	superpathway of L-phenylalanine biosynthesis	0.003540459585	0.9991850041	biosynthesis	False	0.00383002814	0.003385879168	0.003437454599
130	PWY-6630	superpathway of L-tyrosine biosynthesis	0.003520079738	0.9991850041	biosynthesis	False	0.003808812666	0.003371376791	0.003413006265
131	HISDEG-PWY	L-histidine degradation I	0.00339634792	1	degradation_utilization	False	0.003426699255	0.0032610968	0.003481242392
132	PWY0-1296	purine ribonucleosides degradation	0.003380548041	0.9991850041	degradation_utilization	False	0.003284957453	0.003297727542	0.00352213941
133	PWY-7254	TCA cycle VII (acetate-producers)	0.003373206551	0.9991850041	energy_central_metabolism	False	0.003392089443	0.002964279379	0.003687081692
134	PWY-4984	urea cycle	0.003349397127	1	other	False	0.003268155596	0.003354273807	0.003409236441
135	PWY-5104	L-isoleucine biosynthesis IV	0.003281251743	0.9991850041	biosynthesis	False	0.003003721312	0.003810564068	0.00307360053
136	PWYG-321	mycolate biosynthesis	0.003232553407	0.9991850041	biosynthesis	False	0.003414364035	0.002987220527	0.003287064532
137	COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	0.003222859967	0.9991850041	biosynthesis	False	0.003261366992	0.003260481149	0.003162399453
138	PWY-6901	superpathway of glucose and xylose degradation	0.0032053659	0.9967400163	energy_central_metabolism	False	0.003266806753	0.002999413147	0.003322690799
139	COLANSYN-PWY	colanic acid building blocks biosynthesis	0.003170361732	0.9991850041	biosynthesis	False	0.003276002373	0.003273627748	0.003004448925
140	PWY-5920	superpathway of heme biosynthesis from glycine	0.003125289957	0.9991850041	biosynthesis	False	0.00320943158	0.002996029336	0.003163154119
141	GLYCOCAT-PWY	glycogen degradation I (bacterial)	0.003113692397	0.9991850041	degradation_utilization	False	0.003173624136	0.00331609981	0.002903962796
142	PWY-7664	oleate biosynthesis IV (anaerobic)	0.003093819501	0.9991850041	biosynthesis	False	0.003268979097	0.002860820357	0.003143636599
143	PYRIDNUCSAL-PWY	NAD salvage pathway I	0.003080626196	0.9991850041	biosynthesis	False	0.003172812168	0.003047153515	0.003035182968
144	LEU-DEG2-PWY	L-leucine degradation I	0.003056174563	0.9991850041	degradation_utilization	False	0.00328077763	0.003015110109	0.002912911306
145	PWY0-1297	superpathway of purine deoxyribonucleosides degradation	0.002937598189	0.9983700081	degradation_utilization	False	0.002866023171	0.002902660037	0.003021854185
146	PWY-5989	stearate biosynthesis II (bacteria and plants)	0.002923198958	0.9991850041	biosynthesis	False	0.003112316897	0.002692817778	0.002959957093
147	PWY-6737	starch degradation V	0.00291193093	0.9991850041	degradation_utilization	False	0.003004017626	0.003089575685	0.002696869953
148	FERMENTATION-PWY	mixed acid fermentation	0.002858949814	0.9991850041	energy_central_metabolism	False	0.002894659912	0.002766230137	0.002905452009
149	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.002854649009	0.9991850041	biosynthesis	False	0.003027496303	0.002629943268	0.002899614607
150	PWY-6151	S-adenosyl-L-methionine cycle I	0.002850956365	1	other	False	0.002871427447	0.002618740942	0.003021544623
151	PWY-5022	4-aminobutanoate degradation V	0.002837859979	0.9975550122	degradation_utilization	False	0.002748664361	0.002790367119	0.002946036245
152	PWY-5505	L-glutamate and L-glutamine biosynthesis	0.002821487028	0.9991850041	biosynthesis	False	0.002688252513	0.00274955786	0.002983867307
153	PWY0-862	(5Z)-dodec-5-enoate biosynthesis	0.0027892496	0.9991850041	biosynthesis	False	0.002962070233	0.002581178265	0.002820865429
154	PWY-6895	superpathway of thiamin diphosphate biosynthesis II	0.002783929921	0.9975550122	biosynthesis	False	0.002709172682	0.002699820134	0.002910207394
155	PWY-5840	superpathway of menaquinol-7 biosynthesis	0.002780665232	0.9975550122	biosynthesis	False	0.002694991105	0.002730331983	0.002888360891
156	PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	0.002779050448	0.9975550122	biosynthesis	False	0.002851196725	0.002606498456	0.002861126173
157	DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	0.002775358564	0.9991850041	biosynthesis	False	0.002741305743	0.002928859898	0.002678699578
158	ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	0.002756578583	0.9975550122	biosynthesis	False	0.002713461875	0.00262915877	0.002892836736
159	PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	0.002723593953	0.9983700081	biosynthesis	False	0.002694099952	0.002832617345	0.002659108417
160	THISYN-PWY	superpathway of thiamin diphosphate biosynthesis I	0.002708152919	0.9959250204	biosynthesis	False	0.002785551051	0.00281196137	0.002563969112
161	PWY-5838	superpathway of menaquinol-8 biosynthesis I	0.002693046093	0.9967400163	biosynthesis	False	0.002627716	0.002670400996	0.002762519883
162	PWY-5897	superpathway of menaquinol-11 biosynthesis	0.002692731898	0.9975550122	biosynthesis	False	0.002610722324	0.002640207127	0.002799313121
163	PWY-5898	superpathway of menaquinol-12 biosynthesis	0.002692731898	0.9975550122	biosynthesis	False	0.002610722324	0.002640207127	0.002799313121
164	PWY-5899	superpathway of menaquinol-13 biosynthesis	0.002692731898	0.9975550122	biosynthesis	False	0.002610722324	0.002640207127	0.002799313121
165	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	0.002664835506	0.9951100244	biosynthesis	False	0.00263634096	0.002983515363	0.002431044251
166	PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	0.002630836395	0.9991850041	biosynthesis	False	0.002856682888	0.002507291861	0.002552894565
167	PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	0.002630836395	0.9991850041	biosynthesis	False	0.002856682888	0.002507291861	0.002552894565
168	PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	0.002630836395	0.9991850041	biosynthesis	False	0.002856682888	0.002507291861	0.002552894565
169	PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	0.002630836395	0.9991850041	biosynthesis	False	0.002856682888	0.002507291861	0.002552894565
170	PWY-6269	adenosylcobalamin salvage from cobinamide II	0.00260904583	0.9991850041	biosynthesis	False	0.002665991257	0.002581853272	0.002586211792
171	PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	0.002605373635	0.9991850041	biosynthesis	False	0.002658084816	0.002579178325	0.002585061091
172	PWY0-1061	superpathway of L-alanine biosynthesis	0.002581209825	0.9983700081	biosynthesis	False	0.002853020703	0.002354798341	0.002549878873
173	PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	0.00255683162	0.9991850041	degradation_utilization	False	0.002476200397	0.002504747794	0.002661976667
174	UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	0.002529146905	0.9991850041	biosynthesis	False	0.002757498449	0.002395230517	0.002457575955
175	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	0.002526595712	0.9991850041	biosynthesis	False	0.002704192744	0.002313623885	0.002558401978
176	PWY-2941	L-lysine biosynthesis II	0.002496821358	0.9975550122	biosynthesis	False	0.002320507333	0.0022607313	0.002824962981
177	PWY0-1479	tRNA processing	0.002435865682	0.9975550122	other	False	0.002723182843	0.002352362614	0.002277495818
178	PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	0.00243233963	0.9991850041	degradation_utilization	False	0.00254136022	0.002509103897	0.002285076244
179	NAGLIPASYN-PWY	lipid IVA biosynthesis	0.002419450985	0.9991850041	biosynthesis	False	0.00250647472	0.002465254457	0.002314337161
180	PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	0.002360318321	0.9991850041	biosynthesis	False	0.002469016692	0.002402502065	0.002241103552
181	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	0.002344293383	0.9991850041	degradation_utilization	False	0.002401111293	0.002286015886	0.002346545416
182	PWY-5100	pyruvate fermentation to acetate and lactate II	0.002215537863	0.9983700081	energy_central_metabolism	False	0.002074055986	0.002376509116	0.002197185987
183	PWY-5971	palmitate biosynthesis II (bacteria and plants)	0.002180389139	0.9804400978	biosynthesis	False	0.002035149365	0.002089317924	0.002367577597
184	PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	0.002176765835	0.9967400163	biosynthesis	False	0.002115026399	0.002137537308	0.002256751361
185	PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	0.002138155275	0.9991850041	biosynthesis	False	0.002149702748	0.002217162034	0.002065587269
186	PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.002075462694	0.9967400163	biosynthesis	False	0.002181728962	0.001968226158	0.002078260306
187	P161-PWY	acetylene degradation	0.002065126736	0.9991850041	degradation_utilization	False	0.001795941915	0.002174938066	0.002188119641
188	BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	0.002031894655	0.9983700081	biosynthesis	False	0.002252625746	0.001887755133	0.001974521643
189	PWY-7242	D-fructuronate degradation	0.002000982117	1	degradation_utilization	False	0.002016555185	0.001717234724	0.00221683565
