library	campaign	site	position	recruited_pct	coxL_CO_dehydrogenase	NiFe_hydrogenase_large	rbcL_RuBisCO	psbA_photosystem_II	nifH_nitrogenase	amoA_pmoA_ammonia_monooxygenase	nirK_nirS_nitrite_reductase	nosZ_N2O_reductase	ureC_urease	otsA_otsB_trehalose	treY_treZ_trehalose	ectABC_ectoine	crtB_phytoene_synthase	spo0A_sporulation	phrB_photolyase	uvrA_excision_repair	recA_recombination_repair	katE_katG_catalase	sodA_superoxide_dismutase	dps_DNA_protection
4Sr3	1	4	Surface	31.51028561	0.4582744069	0.1048779484	0.07986675463	0.0006542464976	0.0002722938156	0.005435840141	0.197973105	0.00156744133	0.2083649305	0.9298517976	0.8690065154	0.1746150819	0.5342201586	0.04919021235	0.3972376983	0.978014667	0.9570675919	0.9458853362	0.5843674867	0.6602533512
50Dr1	1	50	Deep	37.87242769	0.3526991948	0.05975497904	0.1545413352	0.001134328049	0.0005891899823	0.0005325475347	0.1652517996	0.01030192068	0.4161342874	0.6793400072	0.8112659056	0.2622909385	0.556224939	0.09270404806	0.2513184372	0.9398427702	0.936758191	0.9019076449	0.9242747487	0.7386461202
50PRr2	1	50	Rhizosphere	30.4541913	0.3434973773	0.2519017032	0.2303582999	0.0005911363668	0	0.01110228838	0.2346612681	0.005560763699	0.2923556686	0.6636293685	0.8280451264	0.233389304	0.5091209938	0.05412554117	0.1180870591	0.9057740682	0.9167080945	0.731343611	0.8910858229	0.6966491122
51Dr1	1	51	Deep	30.78990268	0.3565299183	0.2744740025	0.2384570584	0.0005518435761	0	0.02318174649	0.2363223509	0.007779862671	0.3030290386	0.6529931863	0.8058812202	0.2576678899	0.4939190433	0.07955880776	0.1305256058	0.9206200433	0.9117595927	0.7241202626	0.8558701934	0.6556330297
51Sr1	1	51	Surface	19.34235764	0.4683536146	0.1202704501	0.2485043809	0.004025763067	0.000808280076	0.004341070462	0.2804487828	0.007910650112	0.2258430651	0.8397974274	0.7894593455	0.3010595576	0.5727021065	0.05078238332	0.4810108928	0.8596708427	0.9555594146	0.9205551612	0.6728508005	0.6936094116
55Dr2	1	55	Deep	22.01159153	0.151828253	0.01625808745	0.1344837808	0	0	0	0.8128472857	0.7868513268	0.02114923263	0.1210912238	0.0337999287	0.1357940497	0.8892831371	0.009390193014	0.8710719627	0.9892817369	0.03291151704	0.9902058586	0.9795611767	0.9723413434
55Sr3	1	55	Surface	22.91185771	0.1394048052	0.008563125805	0.126838804	0	0	0	0.8188143148	0.8016057987	0.01894552899	0.1099864515	0.02412903195	0.1337862746	0.8944641968	0.008347560727	0.877736045	0.9899272985	0.02074564518	0.9902133117	0.9812760412	0.9733273108
5Sr2	1	5	Surface	19.09834168	0.5612961259	0.18638445	0.1160908208	0.001402594709	0.001565123323	0.01469971456	0.2765582367	0.005068763676	0.2398757463	0.9623787879	0.8482033284	0.236804816	0.6375599715	0.02851612449	0.3358611104	0.938241744	0.9618614838	0.9212782488	0.484949657	0.4207499276
62PRr2	1	62	Rhizosphere	15.56738338	0.2238945392	0.1641000031	0.131498603	0	0	0.001014443186	0.2151045385	0.001014443186	0.2242099917	0.5409432129	0.4944829058	0.1518068933	0.6231494687	0.1705364389	0.3265353303	0.9547077898	0.9891889613	0.6711141785	0.7023928522	0.8052867797
64Dr3	1	64	Deep	26.86263164	0.3908952508	0.04347388686	0.1671542456	0.001663326051	0.0003736234459	0.002555059606	0.2723311567	0.0778552099	0.3472745488	0.9200311711	0.8321300481	0.3760559488	0.7564538239	0.02803291369	0.2382462755	0.8578064936	0.9420297935	0.914259884	0.7533048297	0.7523934776
