run_accession	sample_accession	sample_title	library_name	instrument_model	read_count	base_count	lat	lon	country	fastq_ftp	fastq_bytes	desert	bioproject
SRR5839032	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	40685	11233939	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5839032/SRR5839032.fastq.gz	3760701	Gurbantunggut	PRJNA376617
SRR5839284	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	34229	9453825	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839284/SRR5839284.fastq.gz	3165684	Gurbantunggut	PRJNA376617
SRR5839287	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	32069	8858010	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5839287/SRR5839287.fastq.gz	3081299	Gurbantunggut	PRJNA376617
SRR5839147	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	38191	10546465	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5839147/SRR5839147.fastq.gz	3505032	Gurbantunggut	PRJNA376617
SRR5839288	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	36324	10029775	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5839288/SRR5839288.fastq.gz	3388155	Gurbantunggut	PRJNA376617
SRR5839297	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	37393	10326411	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5839297/SRR5839297.fastq.gz	3688976	Gurbantunggut	PRJNA376617
SRR5839149	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	37333	10309674	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5839149/SRR5839149.fastq.gz	3344733	Gurbantunggut	PRJNA376617
SRR5839153	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	44749	12356015	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839153/SRR5839153.fastq.gz	4210873	Gurbantunggut	PRJNA376617
SRR5839298	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	40501	11184467	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5839298/SRR5839298.fastq.gz	3880630	Gurbantunggut	PRJNA376617
SRR5839234	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	38247	10562512	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839234/SRR5839234.fastq.gz	3673753	Gurbantunggut	PRJNA376617
SRR5839235	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	32130	8870718	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839235/SRR5839235.fastq.gz	2917545	Gurbantunggut	PRJNA376617
SRR5839303	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	39549	10919544	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839303/SRR5839303.fastq.gz	3752216	Gurbantunggut	PRJNA376617
SRR5839309	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	40987	11317986	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5839309/SRR5839309.fastq.gz	3825068	Gurbantunggut	PRJNA376617
SRR5839238	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	34284	9466422	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5839238/SRR5839238.fastq.gz	3164079	Gurbantunggut	PRJNA376617
SRR5839313	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	36361	10041707	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839313/SRR5839313.fastq.gz	3333079	Gurbantunggut	PRJNA376617
SRR5839240	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	40050	11059689	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5839240/SRR5839240.fastq.gz	3952747	Gurbantunggut	PRJNA376617
SRR5839314	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	43482	12017726	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839314/SRR5839314.fastq.gz	3884096	Gurbantunggut	PRJNA376617
