profile	trip	site	compartment	depth	lat	lon	lib_series	lib_number	dna_conc	dna_kit
e0360_18PRr2	1	18	Rhizosphere	554215.0	19.732518055555555	48.046860555555554	JUL_M25	360	9.11898369844222	Pro
e0361_18Sr1	1	18	Surface	41294.0	19.732518055555555	48.046860555555554	JUL_M25	361	0	Pro
e0362_18Sr2	1	18	Surface	188918.0	19.732518055555555	48.046860555555554	JUL_M25	362	0.00336635163226	Pro
e0363_19Dr2	1	19	Deep	141570.0	19.81231916666667	48.24049472222222	JUL_M25	363	0.002693081305808	PowerSoil
e0364_1Dr1	1	1	Deep	80130.0	19.149770555555556	45.166511388888885	JUL_M25	364	0.4565193607	PowerSoil
e0365_1Dr2	1	1	Deep	127644.0	19.149770555555556	45.166511388888885	JUL_M25	365	5.403373084	PowerSoil
e0366_1PRr2	1	1	Rhizosphere	234664.0	19.149770555555556	45.166511388888885	JUL_M25	366	6.3147509	PowerSoil
e0367_1PRr3	1	1	Rhizosphere	186884.0	19.149770555555556	45.166511388888885	JUL_M25	367	9.758590509	PowerSoil
e0368_1Sr1	1	1	Surface	466832.0	19.149770555555556	45.166511388888885	JUL_M25	368	0.01451739141	Pro
e0369_1Sr3	1	1	Surface	448797.0	19.149770555555556	45.166511388888885	JUL_M25	369	0.4157023472	PowerSoil
e0370_20Dr2	1	20	Deep	227053.0	19.869310833333333	48.42464444444444	JUL_M25	370	0	Pro
e0371_20PRr1	1	20	Rhizosphere	431003.0	19.869310833333333	48.42464444444444	JUL_M25	371	0	Pro
e0372_20PRr2	1	20	Rhizosphere	403872.0	19.869310833333333	48.42464444444444	JUL_M25	372	0.013699803065331	Pro
e0373_21Dr1	1	21	Deep	355097.0	19.9011325	48.48646388888889	JUL_M25	373		
e0374_21Sr1	1	21	Surface	365318.0	19.9011325	48.48646388888889	JUL_M25	374	0	Pro
e0375_21Sr2	1	21	Surface	423925.0	19.9011325	48.48646388888889	JUL_M25	375		
e0376_22Dr1	1	22	Deep	520766.0	19.97866972222222	48.63943555555556	JUL_M25	376	0.62218511858892	Pro
e0377_22Dr2	1	22	Deep	645847.0	19.97866972222222	48.63943555555556	JUL_M25	377	0.033222022433428	Pro
e0378_22PRr1	1	22	Rhizosphere	182436.0	19.97866972222222	48.63943555555556	JUL_M25	378	0.069440876787396	Pro
e0379_22PRr3	1	22	Rhizosphere	473079.0	19.97866972222222	48.63943555555556	JUL_M25	379	0.041912835002997	Pro
e0380_23Dr1	1	23	Deep	221753.0	20.049265555555557	48.773331388888884	JUL_M25	380	0	Pro
e0381_23Sr2	1	23	Surface	621961.0	20.049265555555557	48.773331388888884	JUL_M25	381		
e0382_24Dr1	1	24	Deep	488598.0	20.09273861111111	48.89939527777778	JUL_M25	382	0.001712475383166	Pro
e0383_24Dr2	1	24	Deep	510802.0	20.09273861111111	48.89939527777778	JUL_M25	383	0.067343094443017	Pro
e0385_25Dr1	1	25	Deep	798052.0	20.100259722222223	48.95421972222223	JUL_M25	385	0.007063960955561	Pro
e0386_25Dr3	1	25	Deep	499676.0	20.100259722222223	48.95421972222223	JUL_M25	386	0.004538059765391	Pro
e0387_25PRr2	1	25	Rhizosphere	375595.0	20.100259722222223	48.95421972222223	JUL_M25	387	0.720224334275195	Pro
e0388_25Sr1	1	25	Surface	376969.0	20.100259722222223	48.95421972222223	JUL_M25	388	0	Pro
e0389_25Sr2	1	25	Surface	817704.0	20.100259722222223	48.95421972222223	JUL_M25	389	0	Pro
e0390_26Dr1	1	26	Deep	446320.0	20.148753888888887	49.07873861111111	JUL_M25	390	0	Pro
e0391_26Dr2	1	26	Deep	498989.0	20.148753888888887	49.07873861111111	JUL_M25	391	0	Pro
e0392_26Dr3	1	26	Deep	574611.0	20.148753888888887	49.07873861111111	JUL_M25	392	0	PowerSoil
e0393_26PRr2	1	26	Rhizosphere	248983.0	20.148753888888887	49.07873861111111	JUL_M25	393	0.011559208836373	Pro
e0394_26PRr3	1	26	Rhizosphere	100296.0	20.148753888888887	49.07873861111111	JUL_M25	394	0	Pro
e0395_26Sr2	1	26	Surface	650203.0	20.148753888888887	49.07873861111111	JUL_M25	395	0.004152752804178	Pro
e0396_26Sr3	1	26	Surface	588644.0	20.148753888888887	49.07873861111111	JUL_M25	396	0	Pro
e0397_27Dr1	1	27	Deep	740948.0	20.2038574	49.1959834	JUL_M25	397	0	Pro
e0398_27Dr3	1	27	Deep	564013.0	20.2038574	49.1959834	JUL_M25	398	0.057796044181865	Pro
e0399_27PRr1	1	27	Rhizosphere	423526.0	20.2038574	49.1959834	JUL_M25	399		
e0400_27PRr2	1	27	Rhizosphere	443610.0	20.2038574	49.1959834	JUL_M25	400	0.141707337957017	Pro
e0401_27Sr2	1	27	Surface	630451.0	20.2038574	49.1959834	JUL_M25	401	0	Pro
e0402_27Sr3	1	27	Surface	768933.0	20.2038574	49.1959834	JUL_M25	402	0	Pro
e0403_28Dr1	1	28	Deep	258543.0	20.24376861111111	49.37088472222222	JUL_M25	403	0	Pro
e0404_28Dr3	1	28	Deep	202314.0	20.24376861111111	49.37088472222222	JUL_M25	404	0	Pro
e0405_28PRr3	1	28	Rhizosphere	495049.0	20.24376861111111	49.37088472222222	JUL_M25	405	0.0288552	Pro
e0406_28Sr2	1	28	Surface	514475.0	20.24376861111111	49.37088472222222	JUL_M25	406	0	Pro
e0407_28Sr3	1	28	Surface	1158070.0	20.24376861111111	49.37088472222222	JUL_M25	407		
e0408_29Dr1	1	29	Deep	163295.0	20.2597976	49.5675445	JUL_M25	408	0	Pro
e0409_29Dr2	1	29	Deep	572404.0	20.2597976	49.5675445	JUL_M25	409	0	Pro
e0410_29Dr3	1	29	Deep	433370.0	20.2597976	49.5675445	JUL_M25	410	0	PowerSoil
e0411_29PRr1	1	29	Rhizosphere	368860.0	20.2597976	49.5675445	JUL_M25	411		
e0412_29PRr3	1	29	Rhizosphere	174179.0	20.2597976	49.5675445	JUL_M25	412	0.022334458516281	Pro
e0413_29Sr1	1	29	Surface	421606.0	20.2597976	49.5675445	JUL_M25	413	0	Pro
e0414_2Dr1	1	2	Deep	526775.0	19.203468333333333	45.2447675	JUL_M25	414		
e0415_2Dr3	1	2	Deep	925540.0	19.203468333333333	45.2447675	JUL_M25	415		
e0416_2PRr2	1	2	Rhizosphere	227586.0	19.203468333333333	45.2447675	JUL_M25	416	11.18929	Pro
e0417_2Sr3	1	2	Surface	666636.0	19.203468333333333	45.2447675	JUL_M25	417	0.8890955	PowerSoil
e0418_30Dr1	1	30	Deep	139558.0	20.269303055555554	49.68367333333333	JUL_M25	418	0	Pro
e0419_30PRr1	1	30	Rhizosphere	880174.0	20.269303055555554	49.68367333333333	JUL_M25	419	0.2375631	Pro
e0420_30PRr3	1	30	Rhizosphere	245489.0	20.269303055555554	49.68367333333333	JUL_M25	420	0.635028683962668	Pro
e0421_30Sr1	1	30	Surface	470055.0	20.269303055555554	49.68367333333333	JUL_M25	421	0	Pro
e0422_30Sr3	1	30	Surface	448049.0	20.269303055555554	49.68367333333333	JUL_M25	422		
e0423_31Dr2	1	31	Deep	462115.0	20.294623333333334	49.891405	JUL_M25	423	0	Pro
e0424_31PRr2	1	31	Rhizosphere	300114.0	20.294623333333334	49.891405	JUL_M25	424	0.713374432742529	Pro
e0425_31PRr3	1	31	Rhizosphere	227752.0	20.294623333333334	49.891405	JUL_M25	425	1.13592773353883	Pro
e0426_31Sr2	1	31	Surface	489913.0	20.294623333333334	49.891405	JUL_M25	426	0.011302337528898	Pro
e0427_32PRr2	1	32	Rhizosphere	657703.0	20.310684166666668	50.09302138888889	JUL_M25	427	0	PowerSoil
e0428_33Dr2	1	33	Deep	567168.0	20.317507777777777	50.30307027777778	JUL_M25	428	0.00560835687987	PowerSoil
e0429_33PRr1	1	33	Rhizosphere	328498.0	20.317507777777777	50.30307027777778	JUL_M25	429	0.016182892370922	Pro
e0430_33PRr2	1	33	Rhizosphere	396883.0	20.317507777777777	50.30307027777778	JUL_M25	430	0	Pro
e0431_33Sr1	1	33	Surface	140311.0	20.317507777777777	50.30307027777778	JUL_M25	431	0	Pro
e0432_34Dr2	1	34	Deep	543711.0	20.344394444444443	50.5153725	JUL_M25	432	0	Pro
e0433_34PRr1	1	34	Rhizosphere	274524.0	20.344394444444443	50.5153725	JUL_M25	433	0.979664354824899	
e0434_34PRr3	1	34	Rhizosphere	435953.0	20.344394444444443	50.5153725	JUL_M25	434	0.833247709564175	Pro
e0435_34Sr1	1	34	Surface	429096.0	20.344394444444443	50.5153725	JUL_M25	435	0	Pro
e0436_34Sr3	1	34	Surface	830488.0	20.344394444444443	50.5153725	JUL_M25	436	0	Pro
e0437_35Dr2	1	35	Deep	405578.0	20.371795833333334	50.72999222222222	JUL_M25	437	0	Pro
e0438_35Dr3	1	35	Deep	1708225.0	20.371795833333334	50.72999222222222	JUL_M25	438	0.000899049576162	Pro
e0439_35Sr2	1	35	Surface	768244.0	20.371795833333334	50.72999222222222	JUL_M25	439	0.024507866234485	Pro
e0440_36Dr2	1	36	Deep	270651.0	20.42319	51.14483	JUL_M25	440	0.195311882362242	Pro
e0441_36Dr3	1	36	Deep	622304.0	20.42319	51.14483	JUL_M25	441	0.024468337417978	Pro
e0442_36Sr3	1	36	Surface	48989.0	20.42319	51.14483	JUL_M25	442	0.001185864495217	Pro
e0443_37Dr2	1	37	Deep	357294.0	20.454150277777778	51.344883333333335	JUL_M25	443	0.022966242390703	Pro
e0444_37Dr3	1	37	Deep	210787.0	20.454150277777778	51.344883333333335	JUL_M25	444	0.001818325559333	Pro
e0445_37PRr2	1	37	Rhizosphere	376528.0	20.454150277777778	51.344883333333335	JUL_M25	445	1.2753972646059	Pro
e0446_37PRr3	1	37	Rhizosphere	529869.0	20.454150277777778	51.344883333333335	JUL_M25	446	0.425132421535299	Pro
e0447_37Sr1	1	37	Surface	472516.0	20.454150277777778	51.344883333333335	JUL_M25	447	0.005099217329433	Pro
e0448_37Sr2	1	37	Surface	70128.0	20.454150277777778	51.344883333333335	JUL_M25	448	0.021898964345008	Pro
e0449_38Dr2	1	38	Deep	382952.0	20.4610275	51.370224722222225	JUL_M25	449		
e0450_38Dr3	1	38	Deep	232842.0	20.4610275	51.370224722222225	JUL_M25	450	0.005454976677998	Pro
e0451_38PRr2	1	38	Rhizosphere	625188.0	20.4610275	51.370224722222225	JUL_M25	451	1.30148628350067	Pro
e0452_38Sr2	1	38	Surface	316594.0	20.4610275	51.370224722222225	JUL_M25	452		
e0453_39Dr2	1	39	Deep	20268.0	20.51023	51.59742	JUL_M25	453	0.020278282868211	
e0454_39PRr1	1	39	Rhizosphere	724952.0	20.51023	51.59742	JUL_M25	454	0.09917780061665	
e0455_39PRr3	1	39	Rhizosphere	201061.0	20.51023	51.59742	JUL_M25	455	0.290734445410704	Pro
e0456_39Sr3	1	39	Surface	132265.0	20.51023	51.59742	JUL_M25	456	0	Pro
e0457_3Dr2	1	3	Deep	569675.0	19.301079444444444	45.384414166666666	JUL_M25	457	0.07161913098	PowerSoil
e0458_3PRr1	1	3	Rhizosphere	295697.0	19.301079444444444	45.384414166666666	JUL_M25	458	0.4743005274	PowerSoil
e0459_3PRr3	1	3	Rhizosphere	232915.0	19.301079444444444	45.384414166666666	JUL_M25	459	0.8313875	PowerSoil
e0460_40Dr1	1	40	Deep	522507.0	20.54718	51.82559	JUL_M25	460		PowerSoil
e0461_40Dr2	1	40	Deep	39355.0	20.54718	51.82559	JUL_M25	461	0.008024349750968	Pro
e0462_40PRr2	1	40	Rhizosphere	227277.0	20.54718	51.82559	JUL_M25	462	0.013597912878488	Pro
e0463_41PRr2	1	41	Rhizosphere	330261.0	20.539777222222224	51.94610583333333	JUL_M25	463		
e0464_42Dr1	1	42	Deep	148967.0	20.55516	52.12403	JUL_M25	464	0.009091627796664	Pro
e0466_42PRr1	1	42	Rhizosphere	164059.0	20.55516	52.12403	JUL_M25	466	1.79006245553008	Pro
e0467_42PRr2	1	42	Rhizosphere	453138.0	20.55516	52.12403	JUL_M25	467		
e0468_42Sr1	1	42	Surface	113641.0	20.55516	52.12403	JUL_M25	468	0.02344058818879	Pro
e0469_42Sr2	1	42	Surface	405120.0	20.55516	52.12403	JUL_M25	469	0.029172266582339	PowerSoil
e0470_43Dr1	1	43	Deep	484466.0	20.567575555555557	52.22413277777778	JUL_M25	470	0.055577516009171	Pro
e0471_43Dr2	1	43	Deep	152625.0	20.567575555555557	52.22413277777778	JUL_M25	471	0.046169657680449	Pro
e0472_43PRr2	1	43	Rhizosphere	301967.0	20.567575555555557	52.22413277777778	JUL_M25	472	0.036761799351728	Pro
e0473_43Sr2	1	43	Surface	110391.0	20.567575555555557	52.22413277777778	JUL_M25	473	0.02415210688592	Pro
e0474_44Dr2	1	44	Deep	737956.0	20.56783	52.41036	JUL_M25	474	1.20187366590244	Pro
e0475_44PRr3	1	44	Rhizosphere	68024.0	20.56783	52.41036	JUL_M25	475	0.025100798482094	Pro
e0476_45Dr3	1	45	Deep	449178.0	20.56346	52.46776	JUL_M25	476		
e0477_45PRr2	1	45	Rhizosphere	258006.0	20.56346	52.46776	JUL_M25	477	7.96327772946478	Pro
e0478_46PRr1	1	46	Rhizosphere	2046.0	20.553746111111113	52.66920777777778	JUL_M25	478	0.014744248557198	Pro
e0480_47Dr2	1	47	Deep	259795.0	20.54181555555556	52.868785833333334	JUL_M25	480	0.012412048383271	Pro
e0481_47Dr3	1	47	Deep	49982.0	20.54181555555556	52.868785833333334	JUL_M25	481	0.023322001739268	Pro
e0482_47PRr1	1	47	Rhizosphere	21560.0	20.54181555555556	52.868785833333334	JUL_M25	482	0	Pro
e0483_47Sr1	1	47	Surface	382238.0	20.54181555555556	52.868785833333334	JUL_M25	483	0.029686141196933	Pro
e0484_48Dr2	1	48	Deep	175317.0	20.568648333333332	53.09404833333333	JUL_M25	484	0.346470076685904	Pro
e0486_48Sr2	1	48	Surface	300759.0	20.568648333333332	53.09404833333333	JUL_M25	486	65.4144596410783	Pro
e0487_49Dr2	1	49	Deep	191915.0	20.644662222222223	53.28794	JUL_M25	487	3.25065222547237	Pro
e0488_49Sr2	1	49	Surface	63756.0	20.644662222222223	53.28794	JUL_M25	488		
e0489_49Sr3	1	49	Surface	35349.0	20.644662222222223	53.28794	JUL_M25	489	0.015020950272749	PowerSoil
e0490_4Dr3	1	4	Deep	700555.0	19.379571666666667	45.55182694444444	JUL_M25	490	1.319988554	Pro
e0491_4PRr1	1	4	Rhizosphere	961183.0	19.379571666666667	45.55182694444444	JUL_M25	491	5.150896712	PowerSoil
e0492_4PRr2	1	4	Rhizosphere	763429.0	19.379571666666667	45.55182694444444	JUL_M25	492	0.3214445015	Pro
e0493_4PRr3	1	4	Rhizosphere	1143608.0	19.379571666666667	45.55182694444444	JUL_M25	493		
e0494_4Sr1	1	4	Surface	641748.0	19.379571666666667	45.55182694444444	JUL_M25	494	0.01906196612	Pro
e0495_50Dr1	1	50	Deep	43434.0	20.71385	53.4123	JUL_M25	495	17.620167602182	Pro
e0496_50Dr2	1	50	Deep	90101.0	20.71385	53.4123	JUL_M25	496		
e0497_50PRr2	1	50	Rhizosphere	534861.0	20.71385	53.4123	JUL_M25	497	0.159577832239703	Pro
e0498_50Sr1	1	50	Surface	103148.0	20.71385	53.4123	JUL_M25	498	0.011068068622026	Pro
e0499_50Sr3	1	50	Surface	23333.0	20.71385	53.4123	JUL_M25	499	0.006798956439244	Pro
e0500_51Dr1	1	51	Deep	1278036.0	20.7987	53.487	JUL_M25	500	0.716459799193612	Pro
e0501_51Dr3	1	51	Deep	688726.0	20.7987	53.487	JUL_M25	501	0.020120167602182	PowerSoil
e0502_51PRr3	1	51	Rhizosphere	333425.0	20.7987	53.487	JUL_M25	502	1.3082061823069	Pro
e0503_52Dr1	1	52	Deep	405299.0	20.851514166666668	53.75788444444444	JUL_M25	503	0.032848446517511	Pro
e0504_53Dr2	1	53	Deep	525288.0	20.851514166666668	53.75788444444444	JUL_M25	504	0.008522727272727	PowerSoil
e0505_53Dr3	1	53	Deep	24518.0	20.851514166666668	53.75788444444444	JUL_M25	505	0	Pro
e0506_53PRr2	1	53	Rhizosphere	486506.0	20.851514166666668	53.75788444444444	JUL_M25	506	0.056978233034571	PowerSoil
e0507_54PRr1	1	54	Rhizosphere	140880.0	20.92017888888889	53.962204444444446	JUL_M25	507	0.000920294494238	Pro
e0508_54PRr2	1	54	Rhizosphere	126880.0	20.92017888888889	53.962204444444446	JUL_M25	508	0.055097631241998	PowerSoil
e0509_54PRr3	1	54	Rhizosphere	2235.0	20.92017888888889	53.962204444444446	JUL_M25	509	0	Pro
e0510_54Sr1	1	54	Surface	1230.0	20.92017888888889	53.962204444444446	JUL_M25	510	0	Pro
e0511_54Sr2	1	54	Surface	7943.0	20.92017888888889	53.962204444444446	JUL_M25	511	0.007740920281211	PowerSoil
e0512_54Sr3	1	54	Surface	63080.0	20.92017888888889	53.962204444444446	JUL_M25	512	0	Pro
e0513_55Dr2	1	55	Deep	106266.0	20.9022725	54.0024376	JUL_M25	513	13.4106514084507	Pro
e0514_55PRr3	1	55	Rhizosphere	63950.0	20.9022725	54.0024376	JUL_M25	514	0.063660371318822	Pro
e0515_55Sr3	1	55	Surface	38195.0	20.9022725	54.0024376	JUL_M25	515	7.51276408450704	Pro
e0516_56Dr1	1	56	Deep	21885.0	20.821580833333332	54.22385916666667	JUL_M25	516	0.017005441741357	Pro
e0517_56Dr3	1	56	Deep	33492.0	20.821580833333332	54.22385916666667	JUL_M25	517	0	Pro
e0518_56Sr1	1	56	Surface	21640.0	20.821580833333332	54.22385916666667	JUL_M25	518	0	Pro
e0519_56Sr3	1	56	Surface	254964.0	20.821580833333332	54.22385916666667	JUL_M25	519	0.0010403	PowerSoil
e0520_57Dr3	1	57	Deep	31250.0	20.7349775	54.41764333333333	JUL_M25	520	0.002200704225352	Pro
e0521_57PRr3	1	57	Rhizosphere	426086.0	20.7349775	54.41764333333333	JUL_M25	521	0.00520166453265	Pro
e0522_58PRr1	1	58	Rhizosphere	197756.0	20.66540111111111	54.59327444444445	JUL_M25	522	0.022727272727273	Pro
e0523_58Sr2	1	58	Surface	14313.0	20.66540111111111	54.59327444444445	JUL_M25	523	0	Pro
e0524_58Sr3	1	58	Surface	3415.0	20.66540111111111	54.59327444444445	JUL_M25	524	0.000240076824584	Pro
e0525_59PRr3	1	59	Rhizosphere	8737.0	20.65626	54.635868055555555	JUL_M25	525	0.019486235595391	Pro
e0526_5Dr1	1	5	Deep	156969.0	19.407155277777775	45.659501388888884	JUL_M25	526	0.07149289279	Pro
e0527_5Sr1	1	5	Surface	244857.0	19.407155277777775	45.659501388888884	JUL_M25	527	0.02398525538	Pro
e0528_5Sr3	1	5	Surface	753668.0	19.407155277777775	45.659501388888884	JUL_M25	528	0.01405451806	Pro
e0529_60Sr3	1	60	Surface	142260.0	20.706374444444442	54.732105555555556	JUL_M25	529	0	PowerSoil
e0530_62PRr2	1	62	Rhizosphere	116619.0			JUL_M25	530	0.17737676056338	Pro
e0531_62Sr3	1	62	Surface	7769.0			JUL_M25	531	0	Pro
e0532_63PRr3	1	63	Rhizosphere	8574.0			JUL_M25	532	0.003000960307298	Pro
e0534_64Dr3	1	64	Deep	104449.0			JUL_M25	534	16.9357794494238	Pro
e0535_64PRr2	1	64	Rhizosphere	2823.0			JUL_M25	535	89.731073943662	Pro
e0536_64PRr3	1	64	Rhizosphere	21605.0			JUL_M25	536	86.9301776568502	Pro
e0537_64Sr1	1	64	Surface	124927.0			JUL_M25	537	0.832626440460947	Pro
e0538_64Sr2	1	64	Surface	268375.0			JUL_M25	538	1.15633002560819	Pro
e0539_64Sr3	1	64	Surface	224078.0			JUL_M25	539	1.0446943021767	Pro
e0540_6Dr1	1	6	Deep	963407.0	19.405739166666667	45.8161425	JUL_M25	540	2.488112571	Pro
e0541_6PRr2	1	6	Rhizosphere	852292.0	19.405739166666667	45.8161425	JUL_M25	541	3.389032426	
e0542_6Sr2	1	6	Surface	519335.0	19.405739166666667	45.8161425	JUL_M25	542	0.003702986795	Pro
e0543_7Sr1	1	7	Surface	148007.0	19.407005277777778	45.953943611111114	JUL_M25	543	0.0446462	Pro
e0544_7Sr2	1	7	Surface	53896.0	19.407005277777778	45.953943611111114	JUL_M25	544		
e0545_8Sr3	1	8	Surface	31544.0	19.393154166666665	46.110734722222226	JUL_M25	545	0.010014896105973	Pro
e0546_9Dr1	1	9	Deep	318005.0	19.411200277777777	46.30267361111111	JUL_M25	546	0.033579357531791	Pro
e0547_9Dr3	1	9	Deep	254617.0	19.411200277777777	46.30267361111111	JUL_M25	547		
e0548_9PRr2	1	9	Rhizosphere	462436.0	19.411200277777777	46.30267361111111	JUL_M25	548	0.022470397145334	Pro
e0549_9PRr3	1	9	Rhizosphere	19514.0	19.411200277777777	46.30267361111111	JUL_M25	549	0.035851644883566	Pro
e0550_9Sr1	1	9	Surface	366332.0	19.411200277777777	46.30267361111111	JUL_M25	550	0	PowerSoil
e0551_9Sr2	1	9	Surface	282631.0	19.411200277777777	46.30267361111111	JUL_M25	551		
e0552_9Sr3	1	9	Surface	129533.0	19.411200277777777	46.30267361111111	JUL_M25	552	0	Pro
e0592_S22PRr1	4	22	Rhizosphere	527445.0	19.97866972222222	48.63943555555556	JUL_M25	592		QIACube
e0593_S22Sr1	4	22	Surface	412497.0	19.97866972222222	48.63943555555556	JUL_M25	593		QIACube
e0594_S22Dr1	4	22	Deep	478018.0	19.97866972222222	48.63943555555556	JUL_M25	594		QIACube
e0595_S28PRr1	4	28	Rhizosphere	381757.0	20.24376861111111	49.37088472222222	JUL_M25	595		
e0596_S28Sr1	4	28	Surface	475638.0	20.24376861111111	49.37088472222222	JUL_M25	596		
e0597_S28Dr2	4	28	Deep	446785.0	20.24376861111111	49.37088472222222	JUL_M25	597		
e0598_S35PRr1	4	35	Rhizosphere	349063.0	20.371795833333334	50.72999222222222	JUL_M25	598		
e0599_S35Sr1	4	35	Surface	702152.0	20.371795833333334	50.72999222222222	JUL_M25	599		
e0600_S35Dr1	4	35	Deep	400056.0	20.371795833333334	50.72999222222222	JUL_M25	600		
e0601_S43PRr1	4	43	Rhizosphere	223024.0	20.567575555555557	52.22413277777778	JUL_M25	601		
e0602_S43Sr1	4	43	Surface	460770.0	20.567575555555557	52.22413277777778	JUL_M25	602		
e0603_S43Dr1	4	43	Deep	437288.0	20.567575555555557	52.22413277777778	JUL_M25	603		
e0604_S53PRr1	4	53	Rhizosphere	63649.0	20.851514166666668	53.75788444444444	JUL_M25	604		
e0605_S53Sr1	4	53	Surface	44735.0	20.851514166666668	53.75788444444444	JUL_M25	605		
e0606_S53Dr1	4	53	Deep	15697.0	20.851514166666668	53.75788444444444	JUL_M25	606		
e0607_S46PRr1	4	46	Rhizosphere	97674.0	20.553746111111113	52.66920777777778	JUL_M25	607		
e0608_S46Sr1	4	46	Surface	53792.0	20.553746111111113	52.66920777777778	JUL_M25	608		
e0609_S46Dr1	4	46	Deep	321601.0	20.553746111111113	52.66920777777778	JUL_M25	609		
e0610_S47PRr1	4	47	Rhizosphere	468453.0	20.54181555555556	52.868785833333334	JUL_M25	610		
e0611_S47Sr1	4	47	Surface	467362.0	20.54181555555556	52.868785833333334	JUL_M25	611		
e0612_S47Dr1	4	47	Deep	181613.0	20.54181555555556	52.868785833333334	JUL_M25	612		QIACube
e0613_S58PRr1	4	58	Rhizosphere	85984.0	20.66540111111111	54.59327444444445	JUL_M25	613		
