profile_id	site	position	extraction_blank	reads_before	reads_after	removed_read_fraction	richness_before	richness_after	richness_change	shannon_before	shannon_after	shannon_change
V33PRr1	V33	Rhizosphere	EB1	607595	605148	0.004027353747	2380	2368	-12	5.58138117	5.569630439	-0.01175073065
V33PRr2	V33	Rhizosphere	EB10	733370	730292	0.004197062874	3503	3486	-17	6.387827351	6.378570967	-0.0092563833
V33PRr3	V33	Rhizosphere	EB10	593156	588953	0.007085825651	3401	3383	-18	6.454089705	6.445210528	-0.008879177655
V34Dr2	V34	Deep	EB8	877855	870393	0.00850026485	3789	3775	-14	6.822326081	6.82128445	-0.001041630953
V34PRr1	V34	Rhizosphere	EB4	507706	492694	0.02956829346	3655	3641	-14	5.982138066	5.973983175	-0.008154890903
V34PRr2	V34	Rhizosphere	EB8	643446	636224	0.01122394109	4075	4058	-17	6.21656559	6.199199846	-0.01736574345
V34PRr3	V34	Rhizosphere	EB8	626593	619678	0.01103587177	3076	3059	-17	5.902651703	5.887419046	-0.0152326571
V35Dr1	V35	Deep	EB4	1450613	1446704	0.002694722852	5538	5527	-11	6.805195958	6.801290319	-0.003905639049
V35PRr1	V35	Rhizosphere	EB4	334895	332966	0.005760014333	2351	2346	-5	5.883695786	5.879548486	-0.004147299759
V35PRr2	V35	Rhizosphere	EB8	302467	288459	0.04631249029	1661	1655	-6	5.366653436	5.416896791	0.05024335441
V35PRr3	V35	Rhizosphere	EB17	160039	157971	0.0129218503	1159	1152	-7	5.555620975	5.552693181	-0.002927793271
V37Dr1	V37	Deep	EB3	236686	236636	0.0002112503486	1204	1202	-2	6.408266413	6.40749581	-0.0007706029332
V37PRr2	V37	Rhizosphere	EB12	346454	346100	0.001021780669	4581	4574	-7	6.289349784	6.285990358	-0.003359426004
V37PRr3	V37	Rhizosphere	EB12	449850	449152	0.001551628321	2439	2431	-8	5.523685794	5.518011253	-0.005674541094
V38PRr3	V38	Rhizosphere	EB15	48510	47326	0.02440733869	1036	1032	-4	5.701239675	5.716266894	0.01502721954
V38Sr2	V38	Surface	EB15	865020	854711	0.01191764352	2186	2182	-4	6.016920659	6.017423691	0.0005030323945
V39Dr1	V39	Deep	EB4	949051	941251	0.008218736401	4087	4070	-17	6.464454565	6.460747536	-0.003707029252
V39Dr3	V39	Deep	EB15	813823	807750	0.007462310601	3789	3777	-12	6.679909485	6.679937614	2.812934687e-05
V39PRr1	V39	Rhizosphere	EB4	433656	428272	0.01241537071	3233	3209	-24	6.444157883	6.424168076	-0.0199898066
V39PRr2	V39	Rhizosphere	EB15	994413	936935	0.05780093382	4348	4315	-33	6.960224673	7.01126566	0.05104098627
V39PRr3	V39	Rhizosphere	EB15	380123	360608	0.05133864565	4975	4949	-26	6.630309731	6.670000697	0.03969096583
V39Sr2	V39	Surface	EB15	333612	324457	0.02744205844	1471	1458	-13	6.419179041	6.42982233	0.0106432893
V3PRr1	V3	Rhizosphere	EB2	245792	244585	0.004910656165	3765	3759	-6	6.412880335	6.40830672	-0.004573615313
V3PRr2	V3	Rhizosphere	EB14	85966	85185	0.009084987088	1478	1469	-9	5.89699757	5.885674989	-0.01132258146
V3PRr3	V3	Rhizosphere	EB14	406970	404768	0.005410718235	4112	4096	-16	6.65988508	6.650570771	-0.009314309312
V40Dr1	V40	Deep	EB6	703200	688733	0.02057309443	3731	3712	-19	7.595856363	7.610295167	0.0144388041
V40PRr1	V40	Rhizosphere	EB3	387146	385402	0.004504760478	3398	3390	-8	6.805755758	6.803473419	-0.002282339298
V40PRr2	V40	Rhizosphere	EB12	653812	651810	0.0030620423	4092	4078	-14	6.897757028	6.892722274	-0.005034753806
V40PRr3	V40	Rhizosphere	EB12	993307	989224	0.004110511655	6308	6298	-10	7.146407968	7.142052703	-0.004355265579
V40Sr3	V40	Surface	EB12	1318128	1315556	0.001951252079	5741	5731	-10	7.02762926	7.024373141	-0.003256119854
V41Dr3	V41	Deep	EB16	382552	380181	0.006197850227	555	553	-2	4.973780581	4.965269748	-0.008510833513
V42PRr2	V42	Rhizosphere	EB15	785972	785500	0.0006005302988	2570	2568	-2	6.17135381	6.16968731	-0.001666499499
V42Sr2	V42	Surface	EB15	1028589	1022507	0.005912954543	2589	2585	-4	6.663987445	6.661633366	-0.002354079292
V43Dr1	V43	Deep	EB4	581664	579976	0.002902019035	4932	4926	-6	6.834236221	6.832226075	-0.002010145957
V43Dr2	V43	Deep	EB15	529697	526970	0.00514822625	5063	5054	-9	6.912323937	6.911837215	-0.0004867222848
V43Dr3	V43	Deep	EB15	699177	696917	0.003232371774	6646	6635	-11	7.090745197	7.088740456	-0.002004741081
