adjustment	genus	mean_clr_dune	mean_clr_saline_pan	pan_minus_dune_clr	mannwhitney_p	q_bh_200	supported_q_lt_0_05	phylum
route_linear_quadratic	Ramlibacter	0.09077083599	-0.4437685315	-0.5345393675	0.1387237197	0.5662192639	False	Pseudomonadota
route_linear_quadratic	Lysobacter	0.088675105	-0.4335227355	-0.5221978405	0.2315822752	0.6811243388	False	Pseudomonadota
route_linear_quadratic	Noviherbaspirillum	0.08771540721	-0.4288308797	-0.5165462869	0.09490506418	0.4866926368	False	Pseudomonadota
route_linear_quadratic	Archangium	0.08767438511	-0.4286303272	-0.5163047123	0.3140399499	0.7667173904	False	Myxococcota
route_linear_quadratic	Prauserella	0.08461962385	-0.4136959388	-0.4983155627	0.3373556518	0.7667173904	False	Actinomycetota
route_linear_quadratic	Phenylobacterium	0.08420162584	-0.411652393	-0.4958540188	0.03819231701	0.4258184281	False	Pseudomonadota
route_linear_quadratic	Methylobacillus	0.08240513679	-0.4028695576	-0.4852746944	0.1731613781	0.607583783	False	Pseudomonadota
route_linear_quadratic	Cytophaga	0.08207274539	-0.401244533	-0.4833172784	0.1451518374	0.5806073496	False	Bacteroidota
route_linear_quadratic	Gemmatimonas	0.07968025561	-0.3895479163	-0.4692281719	0.1885980546	0.6286601819	False	Gemmatimonadota
route_linear_quadratic	Neobacillus	0.07962692038	-0.3892871663	-0.4689140867	0.1098194088	0.4880862614	False	Bacillota
route_linear_quadratic	Daejeonella	0.07466444976	-0.3650261988	-0.4396906486	0.1658065602	0.607583783	False	Bacteroidota
route_linear_quadratic	Paenibacillus	0.07441668143	-0.363814887	-0.4382315684	0.09031066089	0.4866926368	False	Bacillota
route_linear_quadratic	Adhaeribacter	0.07315108745	-0.3576275386	-0.4307786261	0.09031066089	0.4866926368	False	Bacteroidota
route_linear_quadratic	Aeromicrobium	0.07174968203	-0.3507762233	-0.4225259053	0.3494203291	0.7764896202	False	Actinomycetota
route_linear_quadratic	Glycomyces	0.07029455214	-0.3436622549	-0.4139568071	0.291810083	0.7579482676	False	Actinomycetota
route_linear_quadratic	CSP1-2	0.06987940065	-0.3416326254	-0.4115120261	0.5301627033	0.8985808531	False	Dadabacteria
route_linear_quadratic	Lautropia	0.06857088298	-0.3352354279	-0.4038063109	0.1731613781	0.607583783	False	Pseudomonadota
route_linear_quadratic	Ohtaekwangia	0.06823753679	-0.3336057354	-0.4018432722	0.1885980546	0.6286601819	False	Bacteroidota
route_linear_quadratic	Aureibacillus	0.06727140147	-0.3288824072	-0.3961538086	0.4137744826	0.8113225148	False	Bacillota
