contrast	first_compartment	second_compartment	genus	phylum	n_sites	n_blocks	mean_clr_difference	ci_low	ci_high	sign_flip_p	committed_loading	q_bh_600	supported_q_lt_0_05	higher_in
Deep-Surface	shallow_subsurface	surface	Oceanobacillus	Bacillota	60	183	-0.3173099899	-0.7599907404	0.114548422	0.1488	-0.3173099899	0.2120665083	False	surface
Deep-Surface	shallow_subsurface	surface	Mycobacterium	Actinomycetota	60	183	-0.2977299887	-0.6931051619	0.09439076286	0.1484	-0.2977299887	0.212	False	surface
Deep-Surface	shallow_subsurface	surface	Hydrocarboniphaga	Pseudomonadota	60	183	-0.2937444903	-0.6379140231	0.06625056431	0.1167	-0.2937444903	0.176372796	False	surface
Deep-Surface	shallow_subsurface	surface	Rhodococcus	Actinomycetota	60	183	-0.2924842743	-0.7680026425	0.1981131098	0.2428	-0.2924842743	0.3201758242	False	surface
Deep-Surface	shallow_subsurface	surface	Saccharomonospora	Actinomycetota	60	183	-0.2734017089	-0.7591157905	0.2131374778	0.2855	-0.2734017089	0.3668094218	False	surface
Deep-Surface	shallow_subsurface	surface	Geodermatophilus	Actinomycetota	60	183	-0.2576088884	-0.4751352253	-0.05414828006	0.0177	-0.2576088884	0.03792857143	True	surface
Deep-Surface	shallow_subsurface	surface	Roseomonas	Pseudomonadota	60	183	-0.2517293075	-0.549197996	0.04113116787	0.0924	-0.2517293075	0.1458947368	False	surface
Deep-Surface	shallow_subsurface	surface	Pontibacter	Bacteroidota	60	183	-0.2457971046	-0.5998614034	0.1353944964	0.208	-0.2457971046	0.2822972973	False	surface
Deep-Surface	shallow_subsurface	surface	Tepidisphaera	Planctomycetota	60	183	-0.2334265447	-0.5615473461	0.1061128818	0.1749	-0.2334265447	0.2423502304	False	surface
Deep-Surface	shallow_subsurface	surface	Roseisolibacter	Gemmatimonadota	60	183	-0.2166445582	-0.5099222905	0.07972690965	0.1677	-0.2166445582	0.2345454545	False	surface
Deep-Surface	shallow_subsurface	surface	Staphylococcus	Bacillota	60	183	-0.1921365332	-0.7295342591	0.2957873846	0.4792	-0.1921365332	0.565984252	False	surface
Deep-Surface	shallow_subsurface	surface	Archangium	Myxococcota	60	183	-0.1799348703	-0.4810007809	0.1058239091	0.2382	-0.1799348703	0.3161946903	False	surface
Deep-Surface	shallow_subsurface	surface	Herbaspirillum	Pseudomonadota	60	183	-0.1752034326	-0.5401638447	0.1963806505	0.3579	-0.1752034326	0.448434238	False	surface
Deep-Surface	shallow_subsurface	surface	Glycomyces	Actinomycetota	60	183	-0.1739576689	-0.5221359506	0.152618611	0.327	-0.1739576689	0.4147991543	False	surface
Deep-Surface	shallow_subsurface	surface	Nonomuraea	Actinomycetota	60	183	-0.1471489085	-0.4990927031	0.187265275	0.423	-0.1471489085	0.5179591837	False	surface
Deep-Surface	shallow_subsurface	surface	Actinomadura	Actinomycetota	60	183	-0.1252106917	-0.3938610179	0.1556848402	0.3901	-0.1252106917	0.4845962733	False	surface
Deep-Surface	shallow_subsurface	surface	Halomonas	Pseudomonadota	60	183	-0.1214725777	-0.699473765	0.4795974226	0.6849	-0.1214725777	0.7652513966	False	surface
Deep-Surface	shallow_subsurface	surface	Pelagibius	Pseudomonadota	60	183	-0.1193947255	-0.539585109	0.3041454801	0.5862	-0.1193947255	0.6692395437	False	surface
Deep-Surface	shallow_subsurface	surface	Saccharopolyspora	Actinomycetota	60	183	-0.1142706087	-0.4177334624	0.1737154089	0.4585	-0.1142706087	0.5469184891	False	surface
