genus	phylum	n_sites	spearman_rho_site_ph	p_value	q_bh_200	supported_q_lt_0_05	route_supported	route_rho
Phenylobacterium	Pseudomonadota	60	-0.4247290914	0.0007185271408	0.001690652096	True	True	-0.3476521256
Novosphingobium	Pseudomonadota	60	-0.4220616838	0.0007824518934	0.001819655566	True	True	-0.4477354821
Conexibacter	Actinomycetota	60	-0.4157821617	0.0009536980595	0.002192409332	True	True	-0.5286468463
Rufibacter	Bacteroidota	60	-0.4148374548	0.0009821987623	0.002232269914	True	True	-0.482522923
Arcticibacter	Bacteroidota	60	-0.4094470686	0.001160017584	0.002606781089	True	True	-0.3949986107
Nordella	Pseudomonadota	60	-0.3969435954	0.001688722864	0.003701299036	True	False	-0.2102806335
Herpetosiphon	Chloroflexota	60	-0.3910530703	0.002005619437	0.00431316008	True	True	-0.2789663795
Geodermatophilus	Actinomycetota	60	-0.3899416505	0.002071046056	0.004395153044	True	True	-0.5626007224
Blastococcus	Actinomycetota	60	-0.3896637955	0.002087697696	0.004395153044	True	True	-0.6231731036
Sumerlaea	Sumerlaeota	60	-0.3892747986	0.002111210852	0.004398355942	True	True	-0.4631286468
Deinococcus	Deinococcota	60	-0.3881078077	0.002183175591	0.004501392971	True	True	-0.4520144485
Nocardioides	Actinomycetota	60	-0.3869963879	0.002253740619	0.00459947065	True	True	-0.3330925257
Herbaspirillum	Pseudomonadota	60	-0.3705473743	0.003563857217	0.007127714434	True	True	-0.3260905807
Pedomicrobium	Pseudomonadota	60	-0.3643789942	0.004207026111	0.008330744775	True	False	-0.2307307585
Saccharothrix	Actinomycetota	60	-0.3595998889	0.004773740189	0.009269398426	True	True	-0.4597388163
Sphingoaurantiacus	Pseudomonadota	60	-0.3567101973	0.00514813227	0.009805966228	True	True	-0.4102250625
Ectobacillus	Bacillota	60	-0.3464851348	0.006688497031	0.01261980572	True	False	-0.1415948875
Lautropia	Pseudomonadota	60	-0.3370936371	0.008444465961	0.01578404853	True	True	-0.331258683
Rubellimicrobium	Pseudomonadota	60	-0.3364823562	0.008571536003	0.01587321482	True	True	-0.3606557377
Roseicella	Pseudomonadota	60	-0.3274242845	0.01065906195	0.01955791183	True	True	-0.3335926646
Nibribacter	Bacteroidota	60	-0.317143651	0.01354880967	0.02441226968	True	False	-0.1845512642
Lysobacter	Pseudomonadota	60	-0.3136426785	0.0146758776	0.02620692428	True	False	-0.2364545707
Mycobacterium	Actinomycetota	60	-0.3098638511	0.01598178739	0.02828634936	True	True	-0.5195887747
Modestobacter	Actinomycetota	60	-0.3066963045	0.01715189555	0.03009104482	True	True	-0.420450125
Sporocytophaga	Bacteroidota	60	-0.2970269519	0.02118664742	0.03684634334	True	True	-0.365323701
Arthrobacter	Actinomycetota	60	-0.2955821061	0.02185373624	0.03767885559	True	True	-0.3798277299
PMMR1	Pseudomonadota	60	-0.2599611003	0.04486445019	0.0754024373	False	True	-0.4818005001
Archangium	Myxococcota	60	-0.2592386774	0.04548410501	0.07580684168	False	True	-0.3350930814
Myxococcus	Myxococcota	60	-0.2571825507	0.0472862762	0.07815913421	False	False	-0.2766879689
Mangrovihabitans	Actinomycetota	60	-0.25545985	0.04884085072	0.0800669684	False	True	-0.4591831064
Acidibacter	Pseudomonadota	60	-0.23473187	0.07102899159	0.1092753717	False	False	-0.09297026952
Glycomyces	Actinomycetota	60	-0.2180050014	0.09426239759	0.1406901457	False	False	0.01061405946
CSP1-2	Dadabacteria	60	-0.2090580717	0.1089211519	0.157396232	False	False	0.0627396499
Vallicoccus	Actinomycetota	60	-0.2087246457	0.1094995635	0.157396232	False	True	-0.3892192276
Domibacillus	Bacillota	60	-0.2083356488	0.1101773624	0.157396232	False	False	-0.096526813
Plantactinospora	Actinomycetota	60	-0.199944429	0.1255975601	0.1768979719	False	False	-0.04006668519
Peredibacter	Bdellovibrionota	60	-0.1946096138	0.1362200609	0.189194529	False	False	0.124034454
Nitrolancea	Chloroflexota	60	-0.1919422062	0.1417781429	0.1955560592	False	False	0.0008335648791
Rhodocytophaga	Bacteroidota	60	-0.1828841345	0.1619203506	0.2165863717	False	True	-0.4656293415
OM27 clade	Bdellovibrionota	60	-0.1745484857	0.1822461757	0.2413856632	False	False	0.02672964712
Nonomuraea	Actinomycetota	60	-0.1738260628	0.184090785	0.2422247171	False	True	-0.3590441789
Fictibacillus	Bacillota	60	-0.1638232842	0.2110272232	0.273104202	False	False	0.06801889414
Acidiferrimicrobium	Actinomycetota	60	-0.1627674354	0.2140244896	0.2732489961	False	False	-0.03945540428
Oxalophagus	Bacillota	60	-0.1617115866	0.2170515337	0.2747487768	False	False	-0.01467074187
Allorhizocola	Actinomycetota	60	-0.1609335927	0.2193010937	0.2758504324	False	False	0.03439844401
Cupriavidus	Pseudomonadota	60	-0.151764379	0.2470467048	0.3088083811	False	False	-0.1675465407
Luedemannella	Actinomycetota	60	-0.1418171714	0.2797517889	0.3437210733	False	False	-0.05373714921
Azohydromonas	Pseudomonadota	60	-0.1417060295	0.2801326747	0.3437210733	False	False	0.1118644068
Cytophaga	Bacteroidota	60	-0.1410947485	0.2822336782	0.3441874124	False	False	0.05873853848
Brevundimonas	Pseudomonadota	60	-0.1370380661	0.2964398756	0.3593210614	False	False	0.03956654626
Microvirga	Pseudomonadota	60	-0.1341483745	0.3068386113	0.3696850738	False	False	-0.2659627674
Subgroup 10	Acidobacteriota	60	-0.123923312	0.3454987372	0.4064691026	False	False	-0.07913309253
Telluribacter	Bacteroidota	60	-0.1125868297	0.3917344212	0.4502694497	False	False	0.110197277
Saccharibacillus	Bacillota	60	-0.110641845	0.4000187286	0.4571642612	False	False	-0.0004445679355
Polycyclovorans	Pseudomonadota	60	-0.1060850236	0.4198247957	0.4743783002	False	False	0.06640733537
Arsenicitalea	Pseudomonadota	60	-0.09708252292	0.4605602326	0.5174834074	False	False	0.04606835232
Kallotenue	Chloroflexota	60	-0.09463739928	0.471984314	0.5273567754	False	True	-0.3981105863
Aeromicrobium	Actinomycetota	60	-0.09219227563	0.4835587481	0.5360758206	False	True	-0.289802723
Thermosipho	Thermotogota	60	-0.09185884968	0.4851486176	0.5360758206	False	False	0.2246735204
Methylobacillus	Pseudomonadota	60	-0.08680188941	0.509595866	0.55390855	False	False	0.09124756877
Rhodoplanes	Pseudomonadota	60	-0.05601555988	0.6707628336	0.7060661406	False	False	-0.04256737983
Rhizorhabdus	Pseudomonadota	60	-0.05429285913	0.6803334923	0.7123910915	False	False	-0.2571825507
Niallia	Bacillota	60	-0.04012225618	0.7608456017	0.776373063	False	True	-0.2955265351
Cystobacter	Myxococcota	60	-0.03462072798	0.7928523774	0.8049262715	False	False	-0.03595443179
Neorhizobium	Pseudomonadota	60	-0.006835232009	0.9586623194	0.9586623194	False	False	0.02884134482
Prauserella	Actinomycetota	60	0.02200611281	0.8674542382	0.8718133047	False	False	0.1702695193
Bauldia	Pseudomonadota	60	0.02817449291	0.8307886646	0.8391804692	False	True	0.2888580161
Symbiobacterium	Bacillota	60	0.04028896916	0.7598815979	0.776373063	False	False	0.1731592109
Aureibacillus	Bacillota	60	0.0441233676	0.7378124866	0.7606314295	False	False	0.2556821339
Devosia	Pseudomonadota	60	0.04523478744	0.7314539023	0.7579833185	False	False	0.08602389553
Sandaracinus	Myxococcota	60	0.04923589886	0.7087141065	0.7382438609	False	False	0.2297860517
Ohtaekwangia	Bacteroidota	60	0.06518477355	0.620724072	0.6568508698	False	True	0.3222561823
TM7a	Patescibacteria	60	0.0655181995	0.6189345539	0.6568508698	False	False	0.1194776327
Terribacillus	Bacillota	60	0.06929702695	0.5988089541	0.6404373841	False	False	-0.1966657405
SZB85	Pseudomonadota	60	0.07157543762	0.5868158941	0.6309848323	False	False	-0.1085857183
Litorilinea	Chloroflexota	60	0.08502361767	0.5183394748	0.5603669998	False	False	-0.01811614337
Nitrosomonas	Pseudomonadota	60	0.08946929703	0.4966229013	0.5427572692	False	False	-0.01783828841
Chelativorans	Pseudomonadota	60	0.09119199778	0.4883366086	0.5366336358	False	False	0.02634065018
Amycolatopsis	Actinomycetota	60	0.1070853015	0.415429718	0.472079225	False	True	0.2884690192
Croceibacterium	Pseudomonadota	60	0.1151986663	0.3807707286	0.4401973741	False	False	-0.03323145318
Kineosporia	Actinomycetota	60	0.1154209503	0.3798462031	0.4401973741	False	False	-0.06218393998
Planococcus	Bacillota	60	0.1184773548	0.3672706867	0.4295563587	False	False	0.08296749097
Pantoea	Pseudomonadota	60	0.1255904418	0.3389974796	0.4011804492	False	False	0.1298138372
Candidatus Alysiosphaera	Pseudomonadota	60	0.1293692692	0.3245465172	0.3863649014	False	False	0.08546818561
Lysinibacillus	Bacillota	60	0.1298694082	0.3226636023	0.3863649014	False	False	0.1701583773
Longispora	Actinomycetota	60	0.1482634065	0.2582460229	0.3208025129	False	False	0.2096137816
Kocuria	Actinomycetota	60	0.1626007224	0.2145004619	0.2732489961	False	False	0.03000833565
DSSF69	Pseudomonadota	60	0.1636010003	0.2116557566	0.273104202	False	False	0.1676576827
Isoptericola	Actinomycetota	60	0.1641567102	0.2100868898	0.273104202	False	False	0.06196165602
Neobacillus	Bacillota	60	0.1826618505	0.1624397788	0.2165863717	False	False	0.2596832453
Niastella	Bacteroidota	60	0.1835509864	0.1603693929	0.2165863717	False	True	0.3297026952
I-8	Planctomycetota	60	0.186329536	0.1540246673	0.2095573704	False	True	0.3255904418
Kineococcus	Actinomycetota	60	0.1906085024	0.1446200046	0.1981095954	False	False	0.1937204779
Caulobacter	Pseudomonadota	60	0.1953876077	0.1346302263	0.1882940228	False	False	-0.0351764379
Paracoccus	Pseudomonadota	60	0.2017782717	0.1220951349	0.1731845885	False	False	0.1552653515
Azospirillum	Pseudomonadota	60	0.2092247847	0.10863283	0.157396232	False	False	0.2513475966
Arenimicrobium	Acidobacteriota	60	0.2125590442	0.1029890267	0.151454451	False	False	-0.09947207558
Tepidisphaera	Planctomycetota	60	0.2172825785	0.0953856279	0.1413120413	False	True	0.3013059183
SH-PL14	Planctomycetota	60	0.2196165602	0.09179395022	0.1380360154	False	True	0.3424284523
Turicibacter	Bacillota	60	0.2241178105	0.08516674184	0.1290405179	False	False	0.1414837455
Pir4 lineage	Planctomycetota	60	0.2241733815	0.08508734506	0.1290405179	False	False	0.1994442901
MM2	Pseudomonadota	60	0.2377327035	0.06739181952	0.1044834411	False	True	0.4840789108
Falsirhodobacter	Pseudomonadota	60	0.2425673798	0.0618472778	0.09663637156	False	True	0.4240066685
Sandaracinobacter	Pseudomonadota	60	0.2443456516	0.05990283829	0.09433517841	False	False	0.2051125313
Brevibacillus	Bacillota	60	0.2454570714	0.05871284309	0.09319498904	False	False	0.2401222562
Tautonia	Planctomycetota	60	0.2523478744	0.05175491955	0.08280787128	False	False	0.1093637121
YC-ZSS-LKJ147	Gemmatimonadota	60	0.2531258683	0.05101344589	0.08227975144	False	False	-0.004112253404
Paenibacillus	Bacillota	60	0.2531814393	0.0509608167	0.08227975144	False	True	0.3670464018
Pseudomonas	Pseudomonadota	60	0.2767435399	0.03231020822	0.05476306477	False	True	0.4106140595
Rhodococcus	Actinomycetota	60	0.2843011948	0.02769999334	0.04735041596	True	False	0.08657960545
Peribacillus	Bacillota	60	0.3207557655	0.01246481604	0.02266330189	True	False	0.09874965268
SM1A02	Planctomycetota	60	0.3582661851	0.004943446006	0.009506626935	True	True	0.4015004168
Thermobaculum	Chloroflexota	60	0.3632675743	0.004333230703	0.008496530789	True	False	0.1529869408
Mesobacillus	Bacillota	60	0.3706585163	0.003553115376	0.007127714434	True	True	0.3086412892
Streptococcus	Bacillota	60	0.3966657405	0.001702597557	0.003701299036	True	True	0.4452347874
Tumebacillus	Bacillota	60	0.4033898305	0.001393980244	0.003097733876	True	False	0.2504028897
Corynebacterium	Actinomycetota	60	0.4328424562	0.000552053003	0.001380132508	True	True	0.4875798833
Brucella	Pseudomonadota	60	0.4387885524	0.0004531786449	0.00117285654	True	True	0.5059738816
Hydrocarboniphaga	Pseudomonadota	60	0.4477910531	0.0003338051413	0.0009145346338	True	True	0.3434287302
Pontibacter	Bacteroidota	60	0.4497916088	0.0003115203019	0.000865334172	True	True	0.6654070575
Bradyrhizobium	Pseudomonadota	60	0.5050847458	3.859783326e-05	0.0001354309939	True	True	0.5602667408
Georgenia	Actinomycetota	60	0.5413170325	7.972779167e-06	3.32199132e-05	True	True	0.330980828
Nesterenkonia	Actinomycetota	60	0.5432620172	7.287283986e-06	3.168384342e-05	True	True	0.5357043623
Staphylococcus	Bacillota	60	0.5604890247	3.205240143e-06	1.563531777e-05	True	True	0.6676298972
Oceanobacillus	Bacillota	60	0.5658794109	2.455212313e-06	1.259083237e-05	True	True	0.4083912198
Plastorhodobacter	Pseudomonadota	60	0.5779938872	1.325276948e-06	7.163659176e-06	True	True	0.7151986663
Litchfieldia	Bacillota	60	0.5831064184	1.013999763e-06	5.633332015e-06	True	True	0.5469297027
Rhodocista	Pseudomonadota	60	0.5886635176	7.540308193e-07	4.308747539e-06	True	True	0.7055848847
Crossiella	Actinomycetota	60	0.5942206168	5.575931606e-07	3.379352489e-06	True	True	0.5263684357
Acinetobacter	Pseudomonadota	60	0.5957210336	5.134576172e-07	3.379352489e-06	True	True	0.5948318977
Limibaculum	Pseudomonadota	60	0.5961656016	5.010238586e-07	3.379352489e-06	True	True	0.5649902751
Pelagibius	Pseudomonadota	60	0.5964434565	4.933968668e-07	3.379352489e-06	True	True	0.6489580439
Metabacillus	Bacillota	60	0.599944429	4.061760359e-07	3.124431046e-06	True	True	0.6893025841
Pelagibacterium	Pseudomonadota	60	0.6084467908	2.50779047e-07	2.089825392e-06	True	True	0.5701583773
Bacillus	Bacillota	60	0.6631842178	7.754993717e-09	9.12352202e-08	True	True	0.7703250903
Pseudalkalibacillus	Bacillota	60	0.6642400667	7.200916608e-09	9.00114576e-08	True	True	0.7398166157
Ornithinibacillus	Bacillota	60	0.6665184774	6.130242048e-09	8.173656064e-08	True	True	0.6229508197
Saccharomonospora	Actinomycetota	60	0.6676854682	5.642028694e-09	8.060040991e-08	True	True	0.4936371214
Enterococcus	Bacillota	60	0.6803556543	2.236441381e-09	4.066257057e-08	True	True	0.6286746318
Truepera	Deinococcota	60	0.6814115032	2.066182346e-09	4.066257057e-08	True	True	0.4891358711
Escherichia-Shigella	Pseudomonadota	60	0.6865796054	1.3956351e-09	3.101411333e-08	True	True	0.6993053626
Ammoniphilus	Bacillota	60	0.6876354543	1.286855948e-09	3.101411333e-08	True	True	0.8015559878
Aeromonas	Pseudomonadota	60	0.7075854404	2.598284594e-10	7.423670268e-09	True	True	0.6540150042
Aquibacillus	Bacillota	60	0.7135315365	1.571492971e-10	5.238309902e-09	True	True	0.7219783273
Halomonas	Pseudomonadota	60	0.7478744096	6.586882286e-12	2.634752914e-10	True	True	0.689858294
Gracilibacillus	Bacillota	60	0.7549874965	3.202700066e-12	1.601350033e-10	True	True	0.6576826896
Halalkalibacter	Bacillota	60	0.7808280078	1.871037143e-13	1.247358095e-11	True	True	0.8540150042
Sediminibacillus	Bacillota	60	0.7959433176	2.955547221e-14	2.955547221e-12	True	True	0.6971936649
Polygonibacillus	Bacillota	60	0.8087802167	5.437688859e-15	1.087537772e-12	True	True	0.807001945
