genus	phylum	n_sites	spearman_rho_elemental_axis	p_value	q_bh_200	supported_q_lt_0_05
Pelagibius	Pseudomonadota	60	0.586385107	8.519706941e-07	7.099755784e-06	True
Halomonas	Pseudomonadota	60	0.5902750764	6.912425824e-07	6.010805064e-06	True
Bacillus	Bacillota	60	0.6058349542	2.912556994e-07	2.647779086e-06	True
Staphylococcus	Bacillota	60	0.6170602945	1.516288746e-07	1.44408452e-06	True
Acinetobacter	Pseudomonadota	60	0.6240066685	9.993651407e-08	9.993651407e-07	True
Ammoniphilus	Bacillota	60	0.6449569325	2.665693804e-08	3.136110358e-07	True
Truepera	Deinococcota	60	0.6473464851	2.277982791e-08	3.037310388e-07	True
Crossiella	Actinomycetota	60	0.6545151431	1.409741169e-08	2.349568614e-07	True
Pseudalkalibacillus	Bacillota	60	0.6878021673	1.270433429e-09	2.540866859e-08	True
Aeromonas	Pseudomonadota	60	0.6941928313	7.714487545e-10	1.714330566e-08	True
Enterococcus	Bacillota	60	0.7096971381	2.176482766e-10	5.441206914e-09	True
Gracilibacillus	Bacillota	60	0.717032509	1.161859989e-10	3.87286663e-09	True
Halalkalibacter	Bacillota	60	0.7323701028	2.928560933e-11	1.171424373e-09	True
Aquibacillus	Bacillota	60	0.7414837455	1.234013303e-11	6.170066517e-10	True
Sediminibacillus	Bacillota	60	0.7419838844	1.175629717e-11	6.170066517e-10	True
Escherichia-Shigella	Pseudomonadota	60	0.7422061684	1.150535062e-11	6.170066517e-10	True
Polygonibacillus	Bacillota	60	0.8052236732	8.801220057e-15	1.760244011e-12	True
