task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
24	ba/bcb6cc	51027793	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (CTL_ExtractionCtrlPro_Trip1)	COMPLETED	0	2026-08-30 13:46:51.604	14.1s	11s	201.1%	1.4 GB	9.3 GB	130 MB	6 MB
28	f9/8d918c	51027827	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (CTL_PCRCtrl_Trip1)	COMPLETED	0	2026-08-30 13:47:01.961	8.8s	1s	206.6%	5.6 MB	11.6 MB	139.3 MB	131.2 MB
30	41/b38d83	51027828	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (CTL_Ctrl1_Trip1)	COMPLETED	0	2026-08-30 13:47:02.011	8.7s	4s	638.5%	573.2 MB	9.9 GB	1.8 GB	1.7 GB
33	8d/483990	51027830	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (CTL_Ctrl2)	COMPLETED	0	2026-08-30 13:47:04.786	10.9s	3s	535.8%	563.4 MB	9.9 GB	1 GB	1 GB
32	91/fb66da	51027829	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (CTL_Ctrl2)	COMPLETED	0	2026-08-30 13:47:03.296	12.4s	9s	199.6%	1.1 GB	9.3 GB	96.8 MB	6 MB
29	ea/ad741f	51027825	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (CTL_PCRCtrl_Trip1)	COMPLETED	0	2026-08-30 13:47:01.864	13.9s	5s	184.9%	594.2 MB	9.3 GB	23.8 MB	5.9 MB
34	7b/a5626a	51027832	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (CTL_Ctrl3)	COMPLETED	0	2026-08-30 13:47:07.069	8.7s	3s	475.8%	512.4 MB	9.8 GB	886.5 MB	877.2 MB
36	11/e693da	51027833	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (CTL_NegCtrl2_Trip2)	COMPLETED	0	2026-08-30 13:47:07.847	7.9s	9ms	57.7%	0	0	150.4 KB	942 B
35	a9/8affc3	51027831	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (CTL_Ctrl3)	COMPLETED	0	2026-08-30 13:47:05.841	14.9s	9s	195.0%	1.3 GB	9.3 GB	83.2 MB	6 MB
41	cf/31ea7c	51027842	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (CTL_NTC2)	COMPLETED	0	2026-08-30 13:47:13.012	7.7s	9ms	62.5%	0	0	150.3 KB	942 B
31	96/8ec2a4	51027826	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (CTL_Ctrl1_Trip1)	COMPLETED	0	2026-08-30 13:47:01.914	18.8s	11s	198.8%	2 GB	9.3 GB	129.9 MB	6.2 MB
43	bb/de993e	51027843	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (CTL_NegCtrl1_Trip2)	COMPLETED	0	2026-08-30 13:47:13.066	7.7s	2s	529.4%	575.4 MB	9.9 GB	965.4 MB	954.9 MB
37	10/f4d8f9	51027837	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB5)	COMPLETED	0	2026-08-30 13:47:08.905	11.8s	8s	110.4%	845.7 MB	2.4 GB	44.9 MB	2.3 MB
42	b7/460386	51027844	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (CTL_NegCtrl1_Trip2)	COMPLETED	0	2026-08-30 13:47:14.279	11.5s	8s	192.3%	1.2 GB	9.3 GB	76.1 MB	5.9 MB
39	05/85f613	51027840	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB4)	COMPLETED	0	2026-08-30 13:47:10.892	19.8s	15s	106.8%	771 MB	2.4 GB	44.7 MB	2.4 MB
38	dc/cd0f9c	51027839	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB3)	COMPLETED	0	2026-08-30 13:47:10.145	20.6s	16s	106.2%	885.5 MB	2.4 GB	46.1 MB	3 MB
40	52/2825da	51027841	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_SEB)	COMPLETED	0	2026-08-30 13:47:11.950	18.8s	13s	107.5%	762.8 MB	2.4 GB	43.5 MB	2 MB
49	a0/b37153	51027854	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (CTL_NegCtrl2_Trip2)	COMPLETED	0	2026-08-30 13:47:23.056	7.7s	2s	522.9%	555.5 MB	9.9 GB	980.6 MB	968.6 MB
47	17/20a641	51027848	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (CTL_PCRCtrl_Trip1)	COMPLETED	0	2026-08-30 13:47:20.886	14.8s	10s	108.9%	951.1 MB	2.5 GB	51.1 MB	5.7 MB
50	3d/406432	51027853	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (CTL_NegCtrl2_Trip2)	COMPLETED	0	2026-08-30 13:47:23.002	12.7s	7s	209.2%	2.1 GB	9.3 GB	75.9 MB	5.9 MB
53	3a/6b9f59	51027857	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (CTL_NTC2)	COMPLETED	0	2026-08-30 13:47:26.605	9.1s	6s	218.0%	1.5 GB	9.3 GB	52.3 MB	5.5 MB
54	b0/71027a	51027858	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (CTL_NTC2)	COMPLETED	0	2026-08-30 13:47:27.663	8.1s	2s	501.0%	560.8 MB	9.9 GB	814 MB	804.1 MB
57	5f/ee3427	51027866	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_STD (cutadapt_standard)	COMPLETED	0	2026-08-30 13:47:35.884	4.9s	0ms	38.6%	1.5 MB	26.8 MB	903.1 KB	1 KB
61	b4/6c9f5d	51027872	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_MERGE (cutadapt_standard_summary.tsv)	COMPLETED	0	2026-08-30 13:47:40.798	4.9s	0ms	0.0%	0	0	99.3 KB	870 B
46	9a/1f7dba	51027847	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB1)	COMPLETED	0	2026-08-30 13:47:19.831	30.9s	23s	100.5%	1.2 GB	2.8 GB	84.2 MB	21.3 MB
45	54/4dfde1	51027846	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB2)	COMPLETED	0	2026-08-30 13:47:16.770	49s	43s	102.2%	1.2 GB	2.7 GB	81.6 MB	19.3 MB
58	47/8eb870	51027867	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (CTL_NTC2)	COMPLETED	0	2026-08-30 13:47:36.860	33.9s	29s	100.3%	1.4 GB	3 GB	78.4 MB	21.4 MB
56	3c/df10e6	51027862	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (CTL_NegCtrl2_Trip2)	COMPLETED	0	2026-08-30 13:47:32.110	38.6s	31s	102.7%	1.4 GB	2.9 GB	99.8 MB	30.7 MB
48	66/34c187	51027849	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (CTL_Ctrl1_Trip1)	COMPLETED	0	2026-08-30 13:47:21.951	53.8s	48s	100.6%	1.6 GB	3.1 GB	141.5 MB	48.9 MB
60	d4/e535c9	51027869	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (RV)	COMPLETED	0	2026-08-30 13:47:36.950	53.8s	45s	100.8%	1.9 GB	3.1 GB	693.3 MB	2.7 MB
52	ca/8e80a6	51027856	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (CTL_Ctrl3)	COMPLETED	0	2026-08-30 13:47:25.547	1m 10s	1m 6s	101.0%	1.5 GB	3 GB	109.4 MB	35.1 MB
59	e8/a19533	51027868	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (FW)	COMPLETED	0	2026-08-30 13:47:36.906	58.8s	52s	101.5%	2 GB	3.2 GB	686.9 MB	2.6 MB
55	7d/52ee9b	51027860	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (CTL_NegCtrl1_Trip2)	COMPLETED	0	2026-08-30 13:47:28.708	1m 12s	1m 6s	101.7%	1.4 GB	2.9 GB	101.1 MB	31.4 MB
51	f5/518113	51027855	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (CTL_Ctrl2)	COMPLETED	0	2026-08-30 13:47:24.489	1m 21s	1m 17s	101.1%	1.4 GB	2.9 GB	123.1 MB	41.3 MB
44	23/ebef6f	51027845	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (CTL_ExtractionCtrlPro_Trip1)	COMPLETED	0	2026-08-30 13:47:15.335	1m 45s	1m 42s	100.5%	1.5 GB	3 GB	155.9 MB	56.1 MB
1	88/b7ee25	51028006	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	COMPLETED	0	2026-08-30 13:49:05.800	9.9s	2.7s	98.8%	3 MB	9.8 MB	134.6 MB	652.4 MB
62	4a/4cb03a	51027999	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (FW)	COMPLETED	0	2026-08-30 13:49:02.181	48.6s	45s	101.0%	1.8 GB	3.1 GB	359.3 MB	2.3 MB
64	83/bd5dad	51028000	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (RV)	COMPLETED	0	2026-08-30 13:49:02.230	48.5s	43s	101.9%	1.9 GB	3.1 GB	371.2 MB	2.3 MB
63	24/7b55a9	51027998	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (A)	COMPLETED	0	2026-08-30 13:49:02.124	46m 24s	46m 21s	508.4%	3.2 GB	4.6 GB	85.4 MB	1.1 MB
65	e9/77a847	51030484	NFCORE_AMPLISEQ:AMPLISEQ:NOVASEQ_ERR (A)	COMPLETED	0	2026-08-30 14:35:26.090	14.7s	13s	109.1%	766.2 MB	2.4 GB	40.7 MB	1.1 MB
66	0f/7fc70a	51030507	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (A)	COMPLETED	0	2026-08-30 14:35:40.913	23m 15s	23m 11s	400.0%	3.6 GB	5.3 GB	681.7 MB	46.1 MB
67	66/2b0a4f	51031637	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (A)	COMPLETED	0	2026-08-30 14:58:55.946	6m 25s	6m 22s	780.0%	811.9 MB	2.3 GB	41.4 MB	790.9 KB
