analysis	contrast	omitted_campaign	taxon_count	zero_treatment	n_sites	n_blocks	displacement	displacement_ci_low	displacement_ci_high	standardized_displacement	standardized_displacement_ci_low	standardized_displacement_ci_high	pseudo_f	permutation_p	q_primary_family	direction_cosine_vs_primary
taxon_or_zero_sensitivity	Rhizosphere-Surface		80	multiplicative_0.65	60	182	7.397119015	6.336398289	8.825414412	0.5089122062	0.4499632484	0.5847288198	35.07142013	0.001		0.9877273509
taxon_or_zero_sensitivity	Rhizosphere-Deep		80	multiplicative_0.65	60	191	8.403780672	7.186711304	10.06814512	0.544044167	0.4778385535	0.627854379	41.74341867	0.001		0.9994958762
taxon_or_zero_sensitivity	omnibus_three_positions		200	pseudocount_1.0	60	170	5.865633256						18.31709428	0.001		
taxon_or_zero_sensitivity	Deep-Surface		200	pseudocount_1.0	60	183	7.087702762	6.298032197	8.769525859	0.3407009126	0.3116390435	0.412240459	14.37707339	0.001		0.9992393254
taxon_or_zero_sensitivity	Rhizosphere-Surface		200	pseudocount_1.0	60	182	10.62237655	9.331990271	12.78553374	0.44356319	0.3936903732	0.5195673977	26.42855591	0.001		0.9991261243
taxon_or_zero_sensitivity	Rhizosphere-Deep		200	pseudocount_1.0	60	191	12.00326239	10.30043647	14.23925972	0.4870117626	0.4285425496	0.5640622939	33.51335296	0.001		0.9993611263
taxon_or_zero_sensitivity	omnibus_three_positions		200	multiplicative_0.65	60	170	6.12957732						17.72694009	0.001		
taxon_or_zero_sensitivity	Deep-Surface		200	multiplicative_0.65	60	183	7.402505071	6.618728324	9.174586484	0.3350152836	0.3063943506	0.4094756297	13.84267095	0.001		0.9998623982
taxon_or_zero_sensitivity	Rhizosphere-Surface		200	multiplicative_0.65	60	182	11.08947575	9.664735503	13.27098137	0.4372807819	0.3881797923	0.5108348531	25.50215212	0.001		0.999850077
taxon_or_zero_sensitivity	Rhizosphere-Deep		200	multiplicative_0.65	60	191	12.55962103	10.74399013	15.0513231	0.4819942467	0.4227214302	0.5621698887	32.61055022	0.001		0.9998907486
taxon_or_zero_sensitivity	omnibus_three_positions		383	pseudocount_0.5	60	170	7.929490585						15.24740032	0.001		
taxon_or_zero_sensitivity	Deep-Surface		383	pseudocount_0.5	60	183	9.584079544	8.724141192	12.12056003	0.3093960687	0.2884256906	0.3801372509	11.92090083	0.001		0.9794277319
taxon_or_zero_sensitivity	Rhizosphere-Surface		383	pseudocount_0.5	60	182	14.74069849	12.88350631	17.75117305	0.4175371809	0.3730046092	0.4911184371	23.41720908	0.001		0.9781430673
taxon_or_zero_sensitivity	Rhizosphere-Deep		383	pseudocount_0.5	60	191	15.9183857	13.73511122	19.15455537	0.4459227694	0.3955204329	0.5233723337	27.50222782	0.001		0.9984039663
taxon_or_zero_sensitivity	omnibus_three_positions		383	pseudocount_1.0	60	170	7.28791051						16.03724347	0.001		
taxon_or_zero_sensitivity	Deep-Surface		383	pseudocount_1.0	60	183	8.814759117	7.919967595	11.06849431	0.3176789522	0.2927970555	0.3907597849	12.62099402	0.001		0.9793421083
taxon_or_zero_sensitivity	Rhizosphere-Surface		383	pseudocount_1.0	60	182	13.55734417	11.9135623	16.1680537	0.4269179431	0.3802869522	0.4996269201	24.67319308	0.001		0.9766369726
taxon_or_zero_sensitivity	Rhizosphere-Deep		383	pseudocount_1.0	60	191	14.61226748	12.6981431	17.42030816	0.4537499753	0.4006320685	0.5302142053	28.68840671	0.001		0.9975075856
taxon_or_zero_sensitivity	omnibus_three_positions		383	multiplicative_0.65	60	170	7.691161087						15.58637143	0.001		
taxon_or_zero_sensitivity	Deep-Surface		383	multiplicative_0.65	60	183	9.300093143	8.366008222	11.71156593	0.3129827814	0.2895377776	0.3851060944	12.220107	0.001		0.9794077269
taxon_or_zero_sensitivity	Rhizosphere-Surface		383	multiplicative_0.65	60	182	14.30096474	12.58673584	17.17852384	0.4216466541	0.3747985963	0.4944931466	23.95874553	0.001		0.9776980736
taxon_or_zero_sensitivity	Rhizosphere-Deep		383	multiplicative_0.65	60	191	15.43163068	13.40724427	18.50955142	0.4493128622	0.3985203758	0.5239502126	28.00909639	0.001		0.9982093603
leave_one_campaign_out	omnibus_three_positions	1	200	pseudocount_0.5	60	128	6.188674459						13.47506455	0.001		
leave_one_campaign_out	Deep-Surface	1	200	pseudocount_0.5	60	131	7.144954703	6.541203342	9.353273873	0.2740842604	0.2566922219	0.3498752511	8.95439223	0.001		0.9682519916
leave_one_campaign_out	Rhizosphere-Surface	1	200	pseudocount_0.5	60	138	11.37423738	10.00726298	13.73685628	0.3941763884	0.3530170202	0.4687094203	20.26724946	0.001		0.9902730597
leave_one_campaign_out	Rhizosphere-Deep	1	200	pseudocount_0.5	60	146	12.83593183	11.08479876	15.48771698	0.4349137671	0.3835551312	0.5117869159	25.45094324	0.001		0.9886961411
leave_one_campaign_out	omnibus_three_positions	2	200	pseudocount_0.5	60	168	6.328651316						17.42092444	0.001		
leave_one_campaign_out	Deep-Surface	2	200	pseudocount_0.5	60	181	7.653785548	6.83686669	9.647286635	0.331871968	0.3034126227	0.4089794849	13.55292859	0.001		0.9992135889
leave_one_campaign_out	Rhizosphere-Surface	2	200	pseudocount_0.5	60	178	11.4748697	10.10250112	13.73999178	0.4338218083	0.3856843089	0.5067230424	25.12327245	0.001		0.9994784248
leave_one_campaign_out	Rhizosphere-Deep	2	200	pseudocount_0.5	60	187	13.02545803	11.21194102	15.6173928	0.4808808209	0.4219416856	0.5623848613	32.42975319	0.001		0.9996959115
leave_one_campaign_out	omnibus_three_positions	3	200	pseudocount_0.5	60	117	6.450621853						12.37179527	0.001		
leave_one_campaign_out	Deep-Surface	3	200	pseudocount_0.5	60	129	8.323720225	7.5521865	10.56982495	0.2971599089	0.2784070052	0.3680784529	10.59666857	0.001		0.9744800342
leave_one_campaign_out	Rhizosphere-Surface	3	200	pseudocount_0.5	60	128	11.5926758	10.23382143	14.1568394	0.3827298169	0.345363876	0.4562398804	18.74576386	0.001		0.9835976189
leave_one_campaign_out	Rhizosphere-Deep	3	200	pseudocount_0.5	60	137	13.03928842	11.23468284	15.9882174	0.4293676544	0.3850645359	0.5056236496	24.2342528	0.001		0.9892569986
leave_one_campaign_out	omnibus_three_positions	4	200	pseudocount_0.5	55	114	6.299884808						12.56494556	0.001		
leave_one_campaign_out	Deep-Surface	4	200	pseudocount_0.5	58	125	7.807627158	7.194109425	9.959514155	0.2950905869	0.2737458716	0.3746595487	9.952134775	0.001		0.9460714945
leave_one_campaign_out	Rhizosphere-Surface	4	200	pseudocount_0.5	56	124	11.07135811	9.84633243	13.43673601	0.3766039857	0.3281702447	0.462382916	16.66712017	0.001		0.9670904541
leave_one_campaign_out	Rhizosphere-Deep	4	200	pseudocount_0.5	56	135	12.79363012	10.91520066	15.64294382	0.4325225742	0.3699467898	0.5229309817	23.31515309	0.001		0.9786145722
leave_one_campaign_out	omnibus_three_positions	5	200	pseudocount_0.5	60	153	6.3957342						17.33045493	0.001		
leave_one_campaign_out	Deep-Surface	5	200	pseudocount_0.5	60	166	7.748375418	6.956584852	9.61713294	0.3303047803	0.3048619732	0.4010560736	13.52873127	0.001		0.9945939268
leave_one_campaign_out	Rhizosphere-Surface	5	200	pseudocount_0.5	60	160	11.53168574	9.990801761	14.02770896	0.4280820147	0.3797487746	0.5043653501	24.3492825	0.001		0.9956754281
leave_one_campaign_out	Rhizosphere-Deep	5	200	pseudocount_0.5	60	159	13.19588094	11.39182103	15.84639451	0.465213202	0.406586497	0.5465805357	30.34640728	0.001		0.9945934142
