analysis	contrast	omitted_campaign	taxon_count	zero_treatment	n_sites	mean_dispersion_first	mean_dispersion_second	dispersion_difference	difference_ci_low	difference_ci_high	permutation_p	q_primary_family
leave_one_campaign_out	Rhizosphere-Surface	1	200	pseudocount_0.5	60	33.19937734	31.23060771	1.968769625	0.9861144064	2.9807226	0.003	
leave_one_campaign_out	Rhizosphere-Deep	1	200	pseudocount_0.5	60	33.19937734	32.04587665	1.153500684	0.02792731748	2.278018637	0.056	
leave_one_campaign_out	Deep-Surface	2	200	pseudocount_0.5	60	32.30267318	30.79799496	1.504678219	0.5899497625	2.42947645	0.004	
leave_one_campaign_out	Rhizosphere-Surface	2	200	pseudocount_0.5	60	33.33011474	30.79799496	2.532119779	1.711373267	3.395875388	0.001	
leave_one_campaign_out	Rhizosphere-Deep	2	200	pseudocount_0.5	60	33.33011474	32.30267318	1.02744156	0.04189234577	2.051000484	0.053	
leave_one_campaign_out	Deep-Surface	3	200	pseudocount_0.5	60	32.00736903	30.7890871	1.218281929	0.1916019158	2.293863663	0.029	
leave_one_campaign_out	Rhizosphere-Surface	3	200	pseudocount_0.5	60	32.56660243	30.7890871	1.777515332	0.7162699058	2.835371567	0.004	
leave_one_campaign_out	Rhizosphere-Deep	3	200	pseudocount_0.5	60	32.56660243	32.00736903	0.5592334032	-0.528783581	1.62601131	0.311	
leave_one_campaign_out	Deep-Surface	4	200	pseudocount_0.5	59	32.09647689	30.25452135	1.841955534	0.6645784317	2.997898986	0.005	
leave_one_campaign_out	Rhizosphere-Surface	4	200	pseudocount_0.5	57	33.29844594	30.07342355	3.22502239	2.325135248	4.181288945	0.001	
leave_one_campaign_out	Rhizosphere-Deep	4	200	pseudocount_0.5	58	33.6107656	31.8137241	1.797041499	0.5040970074	3.080889508	0.01	
leave_one_campaign_out	Deep-Surface	5	200	pseudocount_0.5	60	32.23162381	30.63983931	1.591784502	0.6037023215	2.601292467	0.004	
leave_one_campaign_out	Rhizosphere-Surface	5	200	pseudocount_0.5	60	33.41352064	30.63983931	2.773681329	1.950451139	3.705661169	0.001	
leave_one_campaign_out	Rhizosphere-Deep	5	200	pseudocount_0.5	60	33.41352064	32.23162381	1.181896827	0.1207540965	2.177741536	0.021	
